"Releve.number","SIVIMID","Original.Taxon","Analysis.Names","Cover","Cover.percent"
418302,"S-P18302","Sonchus oleraceus","Sonchus oleraceus","2",15
418302,"S-P18302","Stellaria media","Stellaria media","f",15
418302,"S-P18302","Urtica urens","Urtica urens","3",37.5
418302,"S-P18302","Veronica hederefolia","Veronica hederifolia","1",5
418302,"S-P18302","Veronica persica","Veronica persica","1",5
418302,"S-P18302","Vicia sepium","Vicia sepium","1",5
418303,"S-P18303","Cardamine hirsuta","Cardamine hirsuta","+",1
418303,"S-P18303","Conium maculatum","Conium maculatum","2",15
418303,"S-P18303","Euphorbia helioscopia","Euphorbia helioscopia","1",5
418303,"S-P18303","Bilderdykia convolvulus","Fallopia convolvulus","1",5
418303,"S-P18303","Geranium dissectum","Geranium dissectum","a",5
418303,"S-P18303","Geranium robertianum","Geranium robertianum","1",5
418303,"S-P18303","Lamium maculatum","Lamium maculatum","1",5
418303,"S-P18303","Lamium purpureum","Lamium purpureum","2",15
418303,"S-P18303","Rumex conglomeratus","Rumex conglomeratus","a",5
418303,"S-P18303","Senecio vulgaris","Senecio vulgaris","1",5
418303,"S-P18303","Sonchus oleraceus","Sonchus oleraceus","4",62.5
418303,"S-P18303","Stellaria media","Stellaria media","3",37.5
418303,"S-P18303","Thlaspi arvense","Thlaspi arvense","2",15
418303,"S-P18303","Veronica hederefolia","Veronica hederifolia","1",5
418303,"S-P18303","Veronica persica","Veronica persica","2",15
418304,"S-P18304","Amaranthus retroflexus","Amaranthus retroflexus","1",5
418304,"S-P18304","Anagallis arvensis","Anagallis arvensis","1",5
418304,"S-P18304","Chenopodium album","Chenopodium album","4",62.5
418304,"S-P18304","Cirsium arvense","Cirsium arvense","2",15
418304,"S-P18304","Galium aparine","Galium aparine","1",5
418304,"S-P18304","Geranium dissectum","Geranium dissectum","f",15
418304,"S-P18304","Lapsana communis","Lapsana communis","2",15
418304,"S-P18304","Chenopodium polyspermum","Lipandra polysperma","3",37.5
418304,"S-P18304","Malva sylvestris","Malva sylvestris","*",1
418304,"S-P18304","Senecio vulgaris","Senecio vulgaris","1",5
418304,"S-P18304","Sonchus oleraceus","Sonchus oleraceus","*",1
418304,"S-P18304","Veronica persica","Veronica persica","+",1
418305,"S-P18305","Amaranthus retroflexus","Amaranthus retroflexus","1",5
418305,"S-P18305","Chenopodium album","Chenopodium album","3",37.5
418305,"S-P18305","Cirsium arvense","Cirsium arvense","2",15
418305,"S-P18305","Convolvulus arvensis","Convolvulus arvensis","2",15
418305,"S-P18305","Geranium dissectum","Geranium dissectum","1",5
418305,"S-P18305","Geranium molle","Geranium molle","1",5
418305,"S-P18305","Lapsana communis","Lapsana communis","a",5
418305,"S-P18305","Chenopodium polyspermum","Lipandra polysperma","2",15
418305,"S-P18305","Malva sylvestris","Malva sylvestris","2",15
418305,"S-P18305","Oxalis latifolia","Oxalis latifolia","2",15
418305,"S-P18305","Polygonum persicaria","Persicaria maculosa","+",1
418305,"S-P18305","Senecio vulgaris","Senecio vulgaris","+",1
418305,"S-P18305","Sonchus oleraceus","Sonchus oleraceus","+",1
418305,"S-P18305","Stellaria media","Stellaria media","+",1
418306,"S-P18306","Amaranthus retroflexus","Amaranthus retroflexus","2",15
418306,"S-P18306","Chenopodium album","Chenopodium album","3",37.5
418306,"S-P18306","Lamium purpureum","Lamium purpureum","+",1
418306,"S-P18306","Chenopodium polyspermum","Lipandra polysperma","4",62.5
418306,"S-P18306","Oxalis latifolia","Oxalis latifolia","3",37.5
418306,"S-P18306","Polygonum aviculare","Polygonum aviculare","1",5
418306,"S-P18306","Senecio vulgaris","Senecio vulgaris","1",5
418306,"S-P18306","Sonchus oleraceus","Sonchus oleraceus","1",5
418306,"S-P18306","Veronica persica","Veronica persica","+",1
419338,"S-P19338","Arum neglectum","Arum italicum","1",5
419338,"S-P19338","Euphorbia portlandica","Euphorbia portlandica","+",1
419338,"S-P19338","Festuca pruinosa","Festuca pruinosa","2",15
419338,"S-P19338","Geranium robertianum","Geranium robertianum","+",1
419338,"S-P19338","Ligustrum vulgare","Ligustrum vulgare","3",37.5
419338,"S-P19338","Polypodium interjectum","Polypodium interjectum","3",37.5
419338,"S-P19338","Smilax aspera","Smilax aspera","4",62.5
419338,"S-P19338","Sonchus oleraceus","Sonchus oleraceus","+",1
419338,"S-P19338","Umbilicus rupestris","Umbilicus rupestris","+",1
419638,"S-P19638","Achillea millefolium","Achillea millefolium","+",1
419638,"S-P19638","Anthoxanthum aristatum","Anthoxanthum ovatum","a",5
419638,"S-P19638","Chenopodium opulifolium","Chenopodium opulifolium","1",5
419638,"S-P19638","Corrigiola littoralis","Corrigiola litoralis","+",1
419638,"S-P19638","Polygonum convulvulus","Fallopia convolvulus","1",5
419638,"S-P19638","Polygonum persicaria","Persicaria maculosa","1",5
419638,"S-P19638","Pteridium aquilinum","Pteridium aquilinum","+",1
419638,"S-P19638","Raphanus microcarpus","Raphanus raphanistrum","1",5
419638,"S-P19638","Rumex acetosella","Rumex acetosella","1",5
419638,"S-P19638","Spergula arvensis","Spergula arvensis","a",5
419638,"S-P19638","Stellaria media","Stellaria media","1",5
419639,"S-P19639","Chenopodium opulifolium","Chenopodium opulifolium","1",5
419639,"S-P19639","Corrigiola littoralis","Corrigiola litoralis","a",5
419639,"S-P19639","Polygonum convulvulus","Fallopia convolvulus","+",1
419639,"S-P19639","Polygonum persicaria","Persicaria maculosa","1",5
419639,"S-P19639","Pteridium aquilinum","Pteridium aquilinum","+",1
419639,"S-P19639","Raphanus microcarpus","Raphanus raphanistrum","1",5
419639,"S-P19639","Rumex acetosella","Rumex acetosella","a",5
419639,"S-P19639","Spergula arvensis","Spergula arvensis","2",15
419639,"S-P19639","Stellaria media","Stellaria media","2",15
419640,"S-P19640","Agrostis tenuis","Agrostis capillaris","+",1
419640,"S-P19640","Anthemis arvensis","Anthemis arvensis","1",5
419640,"S-P19640","Anthoxanthum aristatum","Anthoxanthum ovatum","2",15
419640,"S-P19640","Campanula lusitanica subsp. filiformis","Campanula lusitanica","1",5
419640,"S-P19640","Crepis capillaris","Crepis capillaris","+",1
419640,"S-P19640","Hypochoeris radicata","Hypochaeris radicata","+",1
419640,"S-P19640","Illecebrum verticillatum","Illecebrum verticillatum","1",5
419640,"S-P19640","Lolium multiflorum","Lolium multiflorum","1",5
419640,"S-P19640","Odontites verna","Odontites vernus","1",5
419640,"S-P19640","Eufragia viscosa","Parentucellia viscosa","+",1
419640,"S-P19640","Polygonum persicaria","Persicaria maculosa","+",1
419640,"S-P19640","Radiola linoides","Radiola linoides","h",37.5
419640,"S-P19640","Rumex acetosella","Rumex acetosella","1",5
419640,"S-P19640","Spergula arvensis","Spergula arvensis","a",5
419640,"S-P19640","Vicia sativa","Vicia sativa","e",15
419641,"S-P19641","Anthemis arvensis","Anthemis arvensis","2",15
419641,"S-P19641","Anthoxanthum aristatum","Anthoxanthum ovatum","i",37.5
419641,"S-P19641","Arnoseris pusilla","Arnoseris minima","1",5
419641,"S-P19641","Campanula lusitanica subsp. filiformis","Campanula lusitanica","1",5
419641,"S-P19641","Crepis capillaris","Crepis capillaris","+",1
419641,"S-P19641","Gladiolus illyricus","Gladiolus communis","+",1
419641,"S-P19641","Herniaria hirsuta subsp. gracilis","Herniaria hirsuta","n",62.5
419641,"S-P19641","Holcus mollis","Holcus mollis","a",5
419641,"S-P19641","Linaria tornefortii","Linaria saxatilis","1",5
419641,"S-P19641","Ornithopus sativus","Ornithopus sativus","1",5
419641,"S-P19641","Spergula arvensis","Spergula arvensis","1",5
419641,"S-P19641","Vicia sativa","Vicia sativa","1",5
419642,"S-P19642","Achillea millefolium","Achillea millefolium","1",5
419642,"S-P19642","Anthemis arvensis","Anthemis arvensis","a",5
419642,"S-P19642","Anthoxanthum aristatum","Anthoxanthum ovatum","3",37.5
419642,"S-P19642","Arnoseris pusilla","Arnoseris minima","1",5
419642,"S-P19642","Campanula lusitanica subsp. filiformis","Campanula lusitanica","1",5
419642,"S-P19642","Ornithopus sativus","Ornithopus sativus","+",1
419642,"S-P19642","Raphanus microcarpus","Raphanus raphanistrum","e",15
419642,"S-P19642","Rumex bucephalophorus","Rumex bucephalophorus","2",15
419642,"S-P19642","Trifolium repens","Trifolium repens","+",1
419642,"S-P19642","Vicia sativa","Vicia sativa","e",15
419643,"S-P19643","Achillea millefolium","Achillea millefolium","+",1
419643,"S-P19643","Arrhenatherum elatius subsp. bulbosum","Arrhenatherum elatius","+",1
419643,"S-P19643","Poa annua","Ochlopoa annua","+",1
419643,"S-P19643","Spergula arvensis","Spergula arvensis","1",5
419643,"S-P19643","Stellaria media","Stellaria media","i",37.5
419643,"S-P19643","Veronica hederifolia","Veronica hederifolia","+",1
419644,"S-P19644","Anthoxanthum amarum","Anthoxanthum amarum","+",1
419644,"S-P19644","Anthemis nobilis","Chamaemelum nobile","1",5
419644,"S-P19644","Lamium maculatum","Lamium maculatum","+",1
419644,"S-P19644","Poa annua","Ochlopoa annua","+",1
419644,"S-P19644","Rumex acetosella","Rumex acetosella","+",1
419644,"S-P19644","Spergula arvensis","Spergula arvensis","1",5
419644,"S-P19644","Stellaria media","Stellaria media","2",15
419645,"S-P19645","Achillea millefolium","Achillea millefolium","+",1
419645,"S-P19645","Cirsium lanceolatum","Cirsium vulgare","+",1
419645,"S-P19645","Dactylis glomerata","Dactylis glomerata","+",1
419645,"S-P19645","Holcus lanatus","Holcus lanatus","+",1
419645,"S-P19645","Lolium rigidum","Lolium rigidum","2",15
419645,"S-P19645","Mentha rotundifolia","Mentha suaveolens","2",15
419645,"S-P19645","Poa annua","Ochlopoa annua","+",1
419645,"S-P19645","Polygonum persicaria","Persicaria maculosa","+",1
419645,"S-P19645","Plantago lanceolata","Plantago lanceolata","+",1
419645,"S-P19645","Plantago major","Plantago major","2",15
419645,"S-P19645","Polygonum aviculare","Polygonum aviculare","2",15
419645,"S-P19645","Urtica dioica","Urtica dioica","a",5
419645,"S-P19645","Verbena officinalis","Verbena officinalis","1",5
419648,"S-P19648","Achillea millefolium","Achillea millefolium","+",1
419648,"S-P19648","Arenaria montana","Arenaria modesta","+",1
419648,"S-P19648","Bellis perennis","Bellis perennis","+",1
419648,"S-P19648","Cerastium glomeratum","Cerastium glomeratum","e",15
419648,"S-P19648","Leontodon hispidus","Leontodon hispidus","+",1
419648,"S-P19648","Luzula campestris","Luzula campestris","1",5
419648,"S-P19648","Moenchia erecta","Moenchia erecta","a",5
419648,"S-P19648","Poa annua","Ochlopoa annua","+",1
419648,"S-P19648","Ornithopus perpusillus","Ornithopus perpusillus","e",15
419648,"S-P19648","Plantago coronopus","Plantago coronopus","1",5
419648,"S-P19648","Rumex acetosella","Rumex acetosella","2",15
419648,"S-P19648","Sedum arenarium","Sedum arenarium","+",1
419648,"S-P19648","Spergularia rubra","Spergularia rubra","a",5
419648,"S-P19648","Teesdalia nudicaulis","Teesdalia nudicaulis","1",5
419648,"S-P19648","Veronica arvensis","Veronica arvensis","1",5
419649,"S-P19649","Agrostis tenuis","Agrostis capillaris","a",5
419649,"S-P19649","Dactylis glomerata","Dactylis glomerata","+",1
419649,"S-P19649","Holcus lanatus","Holcus lanatus","+",1
419649,"S-P19649","Hordeum murinum","Hordeum murinum","a",5
419649,"S-P19649","Lolium rigidum","Lolium rigidum","2",15
419649,"S-P19649","Malva colmeiroi subsp. mariziana","Malva tournefortiana","1",5
419649,"S-P19649","Pentaglottis sempervirens","Pentaglottis sempervirens","+",1
419649,"S-P19649","Plantago coronopus","Plantago coronopus","+",1
419649,"S-P19649","Plantago lanceolata","Plantago lanceolata","+",1
419649,"S-P19649","Plantago major","Plantago major","1",5
419649,"S-P19649","Urtica urens","Urtica urens","i",37.5
419649,"S-P19649","Verbena officinalis","Verbena officinalis","1",5
419747,"S-P19747","Anchusa azurea","Anchusa azurea","1",5
419747,"S-P19747","Carduus carpetanus","Carduus carpetanus","a",5
419747,"S-P19747","Centaurea calcitrapa","Centaurea calcitrapa","*",1
419747,"S-P19747","Centaurea aristata subsp. langeana","Centaurea langei","a",5
419747,"S-P19747","Chenopodium album","Chenopodium album","*",1
419747,"S-P19747","Chondrilla juncea","Chondrilla juncea","2",15
419747,"S-P19747","Cichorium intybus","Cichorium intybus","a",5
419747,"S-P19747","Cirsium arvense","Cirsium arvense","1",5
419747,"S-P19747","Cirsium vulgare","Cirsium vulgare","1",5
419747,"S-P19747","Daucus carota","Daucus carota","*",1
419747,"S-P19747","Dipsacus sylvestris","Dipsacus fullonum","*",1
419747,"S-P19747","Echium vulgare","Echium vulgare","f",15
419747,"S-P19747","Eryngium campestre","Eryngium campestre","f",15
419747,"S-P19747","Hirschfeldia incana","Hirschfeldia incana","*",1
419747,"S-P19747","Isatis tinctoria","Isatis tinctoria","*",1
419747,"S-P19747","Senecio jacobea","Jacobaea vulgaris","a",5
419747,"S-P19747","Lactuca virosa","Lactuca serriola","a",5
419747,"S-P19747","Cardaria draba","Lepidium draba","*",1
419747,"S-P19747","Melilotus alba","Melilotus albus","*",1
419747,"S-P19747","Melilotus indica","Melilotus indicus","1",5
419747,"S-P19747","Onopordum acanthium","Onopordum acanthium","a",5
419747,"S-P19747","Rumex crispus","Rumex crispus","*",1
419747,"S-P19747","Rumex papillaris","Rumex papillaris","a",5
419747,"S-P19747","Sisymbrium austriacum subsp. contortum","Sisymbrium austriacum","1",5
419747,"S-P19747","Scabiosa atropurpurea","Sixalix atropurpurea","*",1
419747,"S-P19747","Verbena officinalis","Verbena officinalis","*",1
419749,"S-P19749","Convolvulus arvensis","Convolvulus arvensis","*",1
419749,"S-P19749","Hordeum murinum","Hordeum murinum","*",1
419749,"S-P19749","Lolium perenne","Lolium perenne","a",5
419749,"S-P19749","Poa annua","Ochlopoa annua","a",5
419749,"S-P19749","Polygonum aviculare","Polygonum aviculare","a",5
419749,"S-P19749","Potentilla reptans","Potentilla reptans","*",1
419749,"S-P19749","Taraxacum officinale","Taraxacum","+",1
419751,"S-P19751","Bromus sterilis","Anisantha sterilis","1",5
419751,"S-P19751","Arrhenatherum elatius subsp. bulbosum","Arrhenatherum elatius","a",5
419751,"S-P19751","Ballota nigra subsp. foetida","Ballota nigra","1",5
419751,"S-P19751","Conium maculatum","Conium maculatum","f",15
419751,"S-P19751","Dactylis glomerata","Dactylis glomerata","a",5
419751,"S-P19751","Galium aparine","Galium aparine","4",62.5
419751,"S-P19751","Geranium pyrenaicum","Geranium pyrenaicum","*",1
419751,"S-P19751","Lactuca virosa","Lactuca serriola","a",5
419751,"S-P19751","Lamium maculatum","Lamium maculatum","*",1
419751,"S-P19751","Lapsana communis","Lapsana communis","1",5
419751,"S-P19751","Marrubium vulgare","Marrubium vulgare","*",1
419751,"S-P19751","Rubus ulmifolius","Rubus ulmifolius","*",1
419751,"S-P19751","Urtica dioica","Urtica dioica","j",37.5
420229,"S-P20229","Centranthus ruber","Centranthus ruber","+",1
420229,"S-P20229","Chelidonium majus","Chelidonium majus","1",5
420229,"S-P20229","Linaria cymbalaria","Cymbalaria muralis","+",1
420229,"S-P20229","Cynodon dactylon","Cynodon dactylon","+",1
420229,"S-P20229","Erigeron canadense","Erigeron canadensis","+",1
420229,"S-P20229","Geranium dissectum","Geranium dissectum","+",1
420229,"S-P20229","Mercurialis annua","Mercurialis annua","+",1
420229,"S-P20229","Parietaria diffusa","Parietaria judaica","1",5
420229,"S-P20229","Polypodium australe","Polypodium cambricum","+",1
420229,"S-P20229","Rubus ulmifolius","Rubus ulmifolius","+",1
420229,"S-P20229","Scrophularia scorodonia","Scrophularia scorodonia","+",1
420230,"S-P20230","Andryala integrifolia","Andryala integrifolia","+",1
420230,"S-P20230","Anogramma leptophylla","Anogramma leptophylla","+",1
420230,"S-P20230","Crepis capillaris","Crepis capillaris","+",1
420230,"S-P20230","Linaria cymbalaria","Cymbalaria muralis","+",1
420230,"S-P20230","Erigeron canadense","Erigeron canadensis","+",1
420230,"S-P20230","Euphorbia segetalis","Euphorbia segetalis","+",1
420230,"S-P20230","Holcus lanatus","Holcus lanatus","+",1
420230,"S-P20230","Poa annua","Ochlopoa annua","+",1
420230,"S-P20230","Oxalis corniculata","Oxalis corniculata","+",1
420230,"S-P20230","Parietaria diffusa","Parietaria judaica","1",5
420230,"S-P20230","Rubus ulmifolius","Rubus ulmifolius","+",1
420230,"S-P20230","Sonchus oleraceus","Sonchus oleraceus","+",1
420230,"S-P20230","Stellaria media","Stellaria media","+",1
420230,"S-P20230","Taraxacum officinale","Taraxacum","+",1
420230,"S-P20230","Urtica urens","Urtica urens","+",1
420230,"S-P20230","Viola reichembachiana","Viola reichenbachiana s.l.","+",1
420231,"S-P20231","Phyllitis scolopendrium","Asplenium scolopendrium","+",1
420231,"S-P20231","Centranthus ruber","Centranthus ruber","+",1
420231,"S-P20231","Chelidonium majus","Chelidonium majus","+",1
420231,"S-P20231","Bilderdykia convolvulus","Fallopia convolvulus","+",1
420231,"S-P20231","Oxalis corniculata","Oxalis corniculata","+",1
420231,"S-P20231","Parietaria diffusa","Parietaria judaica","1",5
420231,"S-P20231","Caryolopha sempervirens","Pentaglottis sempervirens","+",1
420231,"S-P20231","Polystichum setiferum","Polystichum setiferum","+",1
420231,"S-P20231","Pteridium aquilinum","Pteridium aquilinum","+",1
420231,"S-P20231","Tradescantia fluminensis","Tradescantia fluminensis","+",1
420231,"S-P20231","Urtica dioica","Urtica dioica","+",1
420261,"S-P20261","Cakile maritima","Cakile maritima","&",1
420261,"S-P20261","Chenopodium album","Chenopodium album","+",1
420261,"S-P20261","Cynodon dactylon","Cynodon dactylon","+",1
420261,"S-P20261","Datura stramonium","Datura stramonium","+",1
420261,"S-P20261","Bilderdykia convolvulus","Fallopia convolvulus","+",1
420261,"S-P20261","Glaucium flavum","Glaucium flavum","+",1
420261,"S-P20261","Phalaris canariensis","Phalaris brachystachys","+",1
420261,"S-P20261","Rumex conglomeratus","Rumex conglomeratus","+",1
420261,"S-P20261","Salsola kali subsp. kali","Salsola kali","+",1
420261,"S-P20261","Senecio lividus","Senecio lividus","+",1
420261,"S-P20261","Solanum nigrum","Solanum nigrum","+",1
420348,"S-P20348","Agrostis tenuis","Agrostis capillaris","+",1
420348,"S-P20348","Anthemis arvensis","Anthemis arvensis","1",5
420348,"S-P20348","Anthoxanthum odoratum","Anthoxanthum alpinum","+",1
420348,"S-P20348","Bellis perennis","Bellis perennis","+",1
420348,"S-P20348","Carex laevigata","Carex laevigata","+",1
420348,"S-P20348","Cerastium glomeratum","Cerastium glomeratum","+",1
420348,"S-P20348","Cerastium pumilum subsp. pallens","Cerastium pumilum","+",1
420348,"S-P20348","Echium vulgare","Echium vulgare","+",1
420348,"S-P20348","Holcus lanatus","Holcus lanatus","+",1
420348,"S-P20348","Hypochaeris radicata","Hypochaeris radicata","+",1
420348,"S-P20348","Juncus acutiflorus","Juncus acutiflorus","+",1
420348,"S-P20348","Juncus effusus","Juncus effusus","+",1
420348,"S-P20348","Lolium multiflorum","Lolium multiflorum","1",5
420348,"S-P20348","Mentha rotundifolia","Mentha suaveolens","+",1
420348,"S-P20348","Poa annua","Ochlopoa annua","+",1
420348,"S-P20348","Polygonum lapathifolium","Persicaria lapathifolia","+",1
420348,"S-P20348","Plantago lanceolata","Plantago lanceolata","1",5
420348,"S-P20348","Potentilla erecta","Potentilla erecta","+",1
420348,"S-P20348","Ranunculus repens","Ranunculus repens","+",1
420348,"S-P20348","Sonchus oleraceus","Sonchus oleraceus","4",62.5
420348,"S-P20348","Trifolium pratense","Trifolium pratense","+",1
420348,"S-P20348","Trifolium repens subsp. repens","Trifolium repens","+",1
420348,"S-P20348","Vicia sativa subsp. sativa","Vicia sativa","+",1
420349,"S-P20349","Campanula rapunculus","Campanula rapunculus","+",1
420349,"S-P20349","Carum verticillatum","Carum verticillatum","+",1
420349,"S-P20349","Apium nodiflorum","Helosciadium nodiflorum","4",62.5
420349,"S-P20349","Holcus lanatus","Holcus lanatus","*",1
420349,"S-P20349","Hypochaeris glabra","Hypochaeris glabra","+",1
420349,"S-P20349","Hypochaeris radicata","Hypochaeris radicata","+",1
420349,"S-P20349","Lotus corniculatus","Lotus corniculatus","+",1
420349,"S-P20349","Malva sylvestris","Malva sylvestris","+",1
420349,"S-P20349","Medicago arabica","Medicago arabica","+",1
420349,"S-P20349","Medicago polymorpha","Medicago polymorpha","+",1
420349,"S-P20349","Mentha rotundifolia","Mentha suaveolens","+",1
420349,"S-P20349","Ranunculus repens","Ranunculus repens","+",1
420349,"S-P20349","Rumex obtusifolius subsp. obtusifolius","Rumex obtusifolius","3",37.5
420349,"S-P20349","Sonchus asper","Sonchus asper","+",1
420349,"S-P20349","Trifolium pratense","Trifolium pratense","+",1
420349,"S-P20349","Vicia lutea","Vicia lutea","+",1
420354,"S-P20354","Anagallis arvensis","Anagallis arvensis","+",1
420354,"S-P20354","Angelica sylvestris","Angelica sylvestris","+",1
420354,"S-P20354","Anthemis arvensis","Anthemis arvensis","+",1
420354,"S-P20354","Bellis perennis","Bellis perennis","+",1
420354,"S-P20354","Carum verticillatum","Carum verticillatum","+",1
420354,"S-P20354","Convolvulus arvensis","Convolvulus arvensis","+",1
420354,"S-P20354","Crepis capillaris","Crepis capillaris","+",1
420354,"S-P20354","Apium nodiflorum","Helosciadium nodiflorum","+",1
420354,"S-P20354","Holcus lanatus","Holcus lanatus","+",1
420354,"S-P20354","Hypochaeris radicata","Hypochaeris radicata","+",1
420354,"S-P20354","Lolium multiflorum","Lolium multiflorum","4",62.5
420354,"S-P20354","Mentha rotundifolia","Mentha suaveolens","+",1
420354,"S-P20354","Oxalis corniculata","Oxalis corniculata","+",1
420354,"S-P20354","Polygonum lapathifolium","Persicaria lapathifolia","+",1
420354,"S-P20354","Plantago lanceolata","Plantago lanceolata","+",1
420354,"S-P20354","Plantago major","Plantago major","+",1
420354,"S-P20354","Rumex obtusifolius subsp. obtusifolius","Rumex obtusifolius","+",1
420354,"S-P20354","Sonchus asper","Sonchus asper","+",1
420354,"S-P20354","Sonchus oleraceus","Sonchus oleraceus","+",1
420354,"S-P20354","Taraxacum officinale","Taraxacum","+",1
420358,"S-P20358","Cryptostemma calendulaceum","Arctotheca calendula","+",1
420358,"S-P20358","Brassica oleracea","Brassica oleracea","+",1
420358,"S-P20358","Bromus mollis","Bromus hordeaceus","+",1
420358,"S-P20358","Coryolophus sempervirens","Cheirolophus sempervirens","+",1
420358,"S-P20358","Chenopodium album","Chenopodium album","+",1
420358,"S-P20358","Crepis capillaris","Crepis capillaris","+",1
420358,"S-P20358","Echium vulgare","Echium vulgare","+",1
420358,"S-P20358","Euphorbia helioscopia","Euphorbia helioscopia","+",1
420358,"S-P20358","Geranium dissectum","Geranium dissectum","+",1
420358,"S-P20358","Chrysanthemum segetum","Glebionis segetum","4",62.5
420358,"S-P20358","Lolium multiflorum","Lolium multiflorum","3",37.5
420358,"S-P20358","Lolium perenne","Lolium perenne","+",1
420358,"S-P20358","Ranunculus arvensis","Ranunculus arvensis","+",1
420358,"S-P20358","Raphanus raphanistrum","Raphanus raphanistrum","3",37.5
420358,"S-P20358","Sherardia arvensis","Sherardia arvensis","+",1
420358,"S-P20358","Silene laeta","Silene laeta","+",1
420358,"S-P20358","Stachys arvensis","Stachys arvensis","+",1
420359,"S-P20359","Anthoxanthum aristatum","Anthoxanthum ovatum","1",5
420359,"S-P20359","Arisarum vulgare","Arisarum vulgare","+",1
420359,"S-P20359","Avena alba","Avena barbata","+",1
420359,"S-P20359","Bromus mollis","Bromus hordeaceus","+",1
420359,"S-P20359","Calystegia sepium","Calystegia sepium","+",1
420359,"S-P20359","Chrysanthemum myconis","Coleostephus myconis","+",1
420359,"S-P20359","Corrigiola littoralis","Corrigiola litoralis","+",1
420359,"S-P20359","Crepis capillaris","Crepis capillaris","+",1
420359,"S-P20359","Echium plantagineum","Echium plantagineum","+",1
420359,"S-P20359","Echium vulgare","Echium vulgare","4",62.5
420359,"S-P20359","Euphorbia helioscopia","Euphorbia helioscopia","+",1
420359,"S-P20359","Chrysanthemum segetum","Glebionis segetum","2",15
420359,"S-P20359","Holcus lanatus","Holcus lanatus","+",1
420359,"S-P20359","Thrincia hirta","Leontodon saxatilis ","+",1
420359,"S-P20359","Lolium multiflorum","Lolium multiflorum","1",5
420359,"S-P20359","Poa annua","Ochlopoa annua","+",1
420359,"S-P20359","Oenanthe crocata","Oenanthe crocata","+",1
420359,"S-P20359","Ranunculus arvensis","Ranunculus arvensis","+",1
420359,"S-P20359","Raphanus raphanistrum","Raphanus raphanistrum","1",5
420359,"S-P20359","Sonchus asper","Sonchus asper","+",1
420359,"S-P20359","Spergula arvensis","Spergula arvensis","+",1
420359,"S-P20359","Stachys arvensis","Stachys arvensis","+",1
420359,"S-P20359","Umbilicus pendulinus","Umbilicus rupestris","+",1
420359,"S-P20359","Vicia sativa subsp. sativa","Vicia sativa","+",1
420360,"S-P20360","Anagallis arvensis","Anagallis arvensis","+",1
420360,"S-P20360","Bromus mollis","Bromus hordeaceus","+",1
420360,"S-P20360","Cerastium pumilum subsp. pallens","Cerastium pumilum","+",1
420360,"S-P20360","Coryolophus sempervirens","Cheirolophus sempervirens","+",1
420360,"S-P20360","Chrysanthemum myconis","Coleostephus myconis","3",37.5
420360,"S-P20360","Corrigiola littoralis","Corrigiola litoralis","+",1
420360,"S-P20360","Crepis capillaris","Crepis capillaris","+",1
420360,"S-P20360","Echium vulgare","Echium vulgare","+",1
420360,"S-P20360","Geranium dissectum","Geranium dissectum","2",15
420360,"S-P20360","Chrysanthemum segetum","Glebionis segetum","1",5
420360,"S-P20360","Lolium multiflorum","Lolium multiflorum","+",1
420360,"S-P20360","Mercurialis annua","Mercurialis annua","+",1
420360,"S-P20360","Oxalis corniculata","Oxalis corniculata","+",1
420360,"S-P20360","Raphanus raphanistrum","Raphanus raphanistrum","2",15
420360,"S-P20360","Sonchus asper","Sonchus asper","+",1
420360,"S-P20360","Spergula arvensis","Spergula arvensis","+",1
420360,"S-P20360","Stachys arvensis","Stachys arvensis","+",1
420362,"S-P20362","Andryala integrifolia","Andryala integrifolia","+",1
420362,"S-P20362","Anthemis arvensis","Anthemis arvensis","+",1
420362,"S-P20362","Briza maxima","Briza maxima","+",1
420362,"S-P20362","Campanula patula","Campanula patula","+",1
420362,"S-P20362","Chrysanthemum myconis","Coleostephus myconis","2",15
420362,"S-P20362","Filago gallica","Filago gallica","+",1
420362,"S-P20362","Galactites tomentosa","Galactites tomentosus","+",1
420362,"S-P20362","Holcus lanatus","Holcus lanatus","+",1
420362,"S-P20362","Hypochaeris glabra","Hypochaeris glabra","+",1
420362,"S-P20362","Mentha rotundifolia","Mentha suaveolens","+",1
420362,"S-P20362","Agrostis delicatula","Neoschischkinia truncatula","+",1
420362,"S-P20362","Ornithopus compressus","Ornithopus compressus","+",1
420362,"S-P20362","Ornithopus sativus subsp. sativus","Ornithopus sativus","+",1
420362,"S-P20362","Arrhenatherum longifolium","Pseudarrhenatherum longifolium","2",15
420362,"S-P20362","Raphanus raphanistrum","Raphanus raphanistrum","+",1
420362,"S-P20362","Sonchus oleraceus","Sonchus oleraceus","+",1
420362,"S-P20362","Stachys arvensis","Stachys arvensis","+",1
420363,"S-P20363","Anagallis parviflora","Anagallis arvensis","+",1
420363,"S-P20363","Bromus diandrus subsp. rigidus","Anisantha rigida","+",1
420363,"S-P20363","Briza maxima","Briza maxima","+",1
420363,"S-P20363","Bromus mollis","Bromus hordeaceus","+",1
420363,"S-P20363","Cerastium glomeratum","Cerastium glomeratum","+",1
420363,"S-P20363","Chrysanthemum myconis","Coleostephus myconis","+",1
420363,"S-P20363","Crepis capillaris","Crepis capillaris","+",1
420363,"S-P20363","Dactylis glomerata","Dactylis glomerata","+",1
