species,family,n.replications,n.EUNIS.habitats,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance,SD_Disturbance.Severity,SD_Disturbance.Severity.herblayer,SD_Disturbance.Frequency,SD_Disturbance.Frequency.herblayer,SD_Mowing.Frequency,SD_Grazing.Pressure,SD_Soil.Disturbance
Festuca picturata,Poaceae,999,24,0.28526,0.25476,1.32461,1.49736,0.0185,0.2204,0.10158,0.001,9.00E-04,0.1513,0.1499,0.1787,0.001,6.00E-04
Festuca polesica,Poaceae,999,13,0.38947,0.31261,0.97322,2.0179,0.23709,0.23178,0.49739,0.0057,0.005,0.9868,0.1337,1.3358,0.0037,0.0066
Festuca polita,Poaceae,999,12,0.39636,0.31731,0.98733,1.90712,0.03404,0.32264,0.13077,9.00E-04,6.00E-04,0.1874,0.0268,0.1487,0.0023,0.0012
Festuca psammophila,Poaceae,999,25,0.45435,0.33619,0.7853,1.83093,0.41131,0.31191,0.3325,0.0029,0.0029,0.5125,0.0631,0.7028,0.0018,0.002
Festuca pseudodura,Poaceae,999,17,0.28756,0.28565,1.49624,1.49624,0.02211,0.24633,0.09676,9.00E-04,9.00E-04,0.0256,0.0256,0.0612,9.00E-04,9.00E-04
Festuca pseudovaria,Poaceae,999,11,0.44,0.25333,0.82795,1.50786,0.03905,0.24889,0.06889,0.0022,7.00E-04,0.2247,0.0408,0.1345,8.00E-04,5.00E-04
Festuca pyrenaica,Poaceae,999,10,0.32222,0.32222,1.83146,1.83146,0.07323,0.27917,0.13667,0.0051,0.0051,0.1,0.1,1.7194,0.0035,0.0032
Festuca quadriflora,Poaceae,999,31,0.28408,0.277,1.36175,1.46904,0.01039,0.22774,0.10741,4.00E-04,4.00E-04,0.0825,0.0697,0.0863,6.00E-04,4.00E-04
Festuca rectifolia,Poaceae,999,7,0.46986,0.46986,1.91781,1.91781,0.79628,0.38873,0.17432,0.0028,0.0028,0.0287,0.0287,1.1949,0.0043,0.003
Festuca richardsonii,Poaceae,999,11,0.26034,0.26034,1.60696,1.60696,0.01531,0.23455,0.13036,0.005,0.005,0.0576,0.0576,0.0941,0.0041,0.0027
Festuca riloensis,Poaceae,999,9,0.25797,0.24531,1.03313,1.03313,0,0.18507,0.08308,0.0028,0.0033,1.1671,1.1671,0,0.0039,0.0028
Festuca rivas-martinezii,Poaceae,999,14,0.46452,0.36538,0.80125,1.60957,0.28819,0.32759,0.17692,0.0111,0.0127,3.0855,0.5077,3.3024,0.0118,0.0077
Festuca rivularis,Poaceae,999,13,0.35,0.35,1.83594,1.83594,0.23498,0.16393,0.14516,0.0053,0.0053,0.06,0.06,1.6389,0.0095,0.0038
Festuca robustifolia,Poaceae,999,22,0.36849,0.30625,0.99718,1.65798,0.07129,0.31959,0.10272,0.0034,0.0026,0.2634,0.1579,0.4746,0.0025,0.0012
Festuca rothmaleri,Poaceae,999,23,0.50608,0.46716,1.22158,2.06035,0.77084,0.47736,0.2903,0.0012,0.0017,0.3124,0.0295,0.4041,0.0028,0.0016
Festuca rubra aggr.,Poaceae,999,170,0.49144,0.45541,1.23162,1.84798,0.61897,0.28728,0.29737,1.00E-04,1.00E-04,0.0205,0.0043,0.0378,2.00E-04,2.00E-04
Festuca rupicaprina,Poaceae,999,22,0.33291,0.30506,1.09975,1.34606,0.10633,0.30513,0.16731,0.0018,0.002,0.3084,0.3066,0.4864,0.0026,0.0021
Festuca sardoa,Poaceae,999,6,0.18919,0.18649,0.8074,0.8074,0,0.125,0.03611,0.0033,0.0034,0.4831,0.4831,0,0.0052,0.0019
Festuca scabriculmis,Poaceae,999,17,0.38188,0.26842,0.68281,1.48284,0.04742,0.24371,0.10267,0.0014,0.0013,0.2347,0.032,0.4197,9.00E-04,0.001
Festuca scariosa,Poaceae,999,19,0.57937,0.22787,0.331,1.29796,0.07253,0.28871,0.09839,0.0026,0.0017,0.7697,0.0342,0.6635,2.00E-04,0
Festuca stenantha,Poaceae,999,19,0.50534,0.16899,0.23163,1.22077,0.01299,0.20752,0.09197,0.0041,0.0018,0.9158,0.1112,0.0579,0.0013,4.00E-04
Festuca stojanovii,Poaceae,999,4,0.448,0.448,2.05651,2.05651,0.55346,0.332,0.14,0.0012,0.0012,0.0119,0.0119,0.5323,0.0035,0.0013
Festuca stricta subsp. saxatilis,Poaceae,981,12,0.364,0.33846,1.27572,1.62893,0.14874,0.28696,0.14545,0.0082,0.0075,0.627,0.6176,2.9133,0.0079,0.0058
Festuca stricta subsp. stricta,Poaceae,999,12,0.44636,0.32703,0.72097,1.72062,0.16529,0.31215,0.15545,0.0037,0.0032,0.8262,0.0363,1.1124,0.0012,0.0012
Festuca stricta subsp. sulcata,Poaceae,999,73,0.50354,0.45697,1.11378,1.8233,0.74277,0.28196,0.165,3.00E-04,4.00E-04,0.0628,0.0075,0.1081,3.00E-04,3.00E-04
Festuca stricta subsp. trachyphylla,Poaceae,999,49,0.46117,0.42722,1.27354,1.92126,0.74244,0.31249,0.27723,0.0012,0.0013,0.1904,0.0429,0.2928,0.0015,0.0012
Festuca summilusitana,Poaceae,999,20,0.29195,0.27062,1.37592,1.44278,0.0566,0.24767,0.112,0.0014,0.0013,0.0237,0.0247,0.3611,0.0019,0.0015
Festuca tatrae,Poaceae,999,25,0.41422,0.28066,0.67685,1.51996,0.03995,0.25981,0.12476,0.0026,0.0022,0.4472,0.0433,0.3894,0.0011,0.0024
Festuca thracica,Poaceae,999,14,0.58372,0.57907,2.09754,2.09754,0.64136,0.3186,0.29767,0,0,0,0,0,0,0
Festuca trichophylla,Poaceae,999,34,0.49408,0.43691,1.07025,1.90498,0.51859,0.34014,0.17838,0.0022,0.0026,0.4071,0.0249,0.7502,0.0026,0.0017
Festuca vaginata,Poaceae,999,18,0.40119,0.3593,1.21921,1.70468,0.38811,0.23721,0.37976,0.0053,0.0036,0.6313,0.0491,1.538,0.004,0.0074
Festuca valesiaca aggr.,Poaceae,999,93,0.51027,0.45284,1.02512,1.80135,0.54913,0.34404,0.19014,3.00E-04,4.00E-04,0.0682,0.0075,0.1147,4.00E-04,3.00E-04
Festuca valida,Poaceae,999,21,0.3,0.2557,0.85506,0.95507,0.0376,0.18038,0.045,0.0034,0.0025,0.7475,0.5581,0.5177,0.0026,0.0018
Festuca varia,Poaceae,999,45,0.38526,0.27725,0.74495,1.46297,0.03302,0.25201,0.09143,0.0016,0.001,0.377,0.081,0.1896,7.00E-04,7.00E-04
Festuca versicolor,Poaceae,999,19,0.29035,0.28396,1.33015,1.37864,0.00387,0.24357,0.09454,7.00E-04,6.00E-04,0.1187,0.0906,0.008,7.00E-04,8.00E-04
Festuca violacea,Poaceae,999,40,0.30673,0.28623,1.28812,1.61542,0.05316,0.26187,0.13469,6.00E-04,5.00E-04,0.1215,0.0617,0.1125,6.00E-04,4.00E-04
Festuca vivipara,Poaceae,999,51,0.34658,0.32376,1.38367,1.55063,0.20192,0.25829,0.18629,0.0013,0.0012,0.0791,0.0696,0.3444,0.0013,0.0012
Festuca wagneri,Poaceae,999,3,0.4913,0.4913,2.24349,2.24349,1.37946,0.4125,0.17826,0.0038,0.0078,0.1883,0.0892,1.9072,0.0054,0.003
Festuca woronowii,Poaceae,207,6,0.28,0.28,1.41481,1.41481,0.11244,0.22857,0.03333,0.006,0.006,0.114,0.114,2.3034,0.0073,0.0049
Festuca xanthina,Poaceae,69,7,0.56,0.16,0.21727,1.24413,0,0.21818,0.095,0.0098,0.0092,2.6976,0.3271,2.3849,0.0043,0.0033
Ficaria calthifolia,Ranunculaceae,999,21,0.53594,0.34918,0.56676,1.43292,0.22414,0.25873,0.16406,0.0062,0.006,1.609,0.0712,1.5658,0.005,0.003
Ficaria fascicularis,Ranunculaceae,999,14,0.63723,0.28305,0.21994,1.48909,0.18997,0.18274,0.15415,0.0021,0.0044,1.0473,0.0556,1.0689,0.0014,0.0027
Ficaria verna,Ranunculaceae,999,86,0.66551,0.27982,0.17419,1.41859,0.08796,0.19647,0.14036,3.00E-04,5.00E-04,0.109,0.006,0.1081,3.00E-04,3.00E-04
Ficus carica,Moraceae,999,47,0.68283,0.343,0.29141,1.41706,0.06643,0.22915,0.13971,0.0014,0.0027,0.3808,0.0454,0.4142,0.0013,0.0017
Filago aegaea,Compositae,999,15,0.77702,0.5444,1.04229,1.82888,0.17997,0.37004,0.30816,0.0023,0.0033,0.2955,0.0794,0.4861,0.0016,0.0018
Filago arvensis,Compositae,999,64,0.5729,0.54545,1.32125,1.96293,0.53629,0.31204,0.37455,0.0019,0.0021,0.1844,0.0112,0.3951,0.0014,0.0023
Filago carpetana,Compositae,999,11,0.35714,0.34884,1.79258,2.17323,0.81172,0.32875,0.23605,0.0031,0.003,0.0283,0.0047,0.2724,0.0012,0.0036
Filago cretensis,Compositae,999,16,0.76346,0.54909,0.53994,1.50891,0.18597,0.30566,0.30909,0.0111,0.0134,0.9781,0.4223,2.1897,0.0098,0.008
Filago eriocephala,Compositae,999,20,0.73902,0.52771,0.80797,1.87711,0.21623,0.39059,0.31034,0.0042,0.0066,0.7494,0.0337,1.156,0.0054,0.0037
Filago gallica,Compositae,999,42,0.51774,0.44675,1.23353,1.90583,0.43185,0.32567,0.26482,0.0023,0.0023,0.1535,0.0207,0.4014,0.0013,0.0012
Filago germanica,Compositae,999,57,0.59968,0.5665,1.29805,1.92567,0.4736,0.31173,0.34786,0.0023,0.0024,0.2116,0.0251,0.3977,0.0012,0.0022
Filago lutescens,Compositae,999,32,0.61939,0.51132,0.81044,1.63016,0.33142,0.29438,0.2707,0.0048,0.0047,0.3979,0.0313,0.8288,0.002,0.0029
Filago minima,Compositae,999,53,0.41538,0.38938,1.34652,2.02533,0.44843,0.32735,0.35074,0.001,0.001,0.0772,0.0107,0.2489,8.00E-04,9.00E-04
Filago pygmaea,Compositae,999,23,0.73723,0.66272,1.24849,1.73676,0.24291,0.41653,0.35948,0.0036,0.0045,0.2545,0.0598,0.8461,0.0042,0.0025
Filago pyramidata,Compositae,999,49,0.75088,0.73376,1.62634,1.9621,0.36094,0.32503,0.43066,0.0017,0.002,0.118,0.0079,0.3589,0.0013,0.0018
Filipendula ulmaria,Rosaceae,999,96,0.5456,0.4255,0.66293,1.54467,0.43704,0.18334,0.14844,3.00E-04,3.00E-04,0.0483,0.0047,0.0665,2.00E-04,2.00E-04
Filipendula vulgaris,Rosaceae,999,90,0.51732,0.44689,0.9477,1.81919,0.73962,0.25635,0.18309,3.00E-04,4.00E-04,0.0801,0.0054,0.0998,3.00E-04,4.00E-04
Flueggea tinctoria,Phyllanthaceae,999,9,0.60625,0.37143,0.40155,1.46499,0.05176,0.21212,0.10882,0.009,0.0042,0.6442,0.4063,0.3745,0.0035,0.0022
Foeniculum vulgare,Apiaceae,999,62,0.75337,0.68749,1.0753,1.61588,0.52801,0.24295,0.30772,0.0011,0.0015,0.1203,0.0165,0.2519,8.00E-04,0.0014
Fourraea alpina,Brassicaceae,999,33,0.60831,0.17529,0.16236,1.29013,0.06026,0.21,0.09198,0.0023,0.002,0.6113,0.0485,0.4658,9.00E-04,6.00E-04
Fragaria moschata,Rosaceae,999,44,0.65546,0.18412,0.11388,1.35637,0.08035,0.20235,0.11654,8.00E-04,0.0011,0.2704,0.0275,0.2597,4.00E-04,5.00E-04
Fragaria vesca,Rosaceae,999,110,0.66057,0.18432,0.11528,1.34075,0.06671,0.20032,0.12881,2.00E-04,2.00E-04,0.0563,0.0074,0.0527,1.00E-04,1.00E-04
Fragaria viridis,Rosaceae,999,71,0.53101,0.42792,0.79982,1.71177,0.60238,0.25935,0.16022,3.00E-04,5.00E-04,0.0962,0.0068,0.1235,4.00E-04,4.00E-04
Frangula alnus,Rhamnaceae,999,101,0.66874,0.17802,0.15372,1.30333,0.03604,0.19455,0.15585,3.00E-04,2.00E-04,0.0657,0.0063,0.0604,1.00E-04,2.00E-04
Frangula rupestris,Rhamnaceae,999,29,0.65269,0.16564,0.14406,1.29255,0.04765,0.24429,0.10876,0.0019,0.0016,0.5223,0.1461,0.3826,0.0015,7.00E-04
Frankenia hirsuta,Frankeniaceae,999,16,0.31226,0.30584,0.79268,0.795,0.05221,0.20909,0.13333,0.0059,0.0059,0.4046,0.4045,0.71,0.0069,0.0042
Frankenia laevis,Frankeniaceae,999,22,0.34615,0.34477,0.9351,0.94076,0.04888,0.1686,0.16761,0.005,0.0048,0.3294,0.3105,0.5618,0.0044,0.0059
Frankenia pulverulenta,Frankeniaceae,999,19,0.40519,0.405,1.16473,1.16464,0.07308,0.272,0.21923,0.0101,0.0101,0.5529,0.5532,1.5001,0.0104,0.0085
Fraxinus americana,Oleaceae,999,6,0.76596,0.2383,0.15214,1.37107,0.00887,0.2,0.18298,9.00E-04,9.00E-04,0.4168,0.0177,0.0285,0,0.0012
Fraxinus angustifolia,Oleaceae,999,55,0.67371,0.29483,0.1634,1.49067,0.02378,0.2039,0.11325,5.00E-04,5.00E-04,0.14,0.0076,0.1115,2.00E-04,3.00E-04
Fraxinus excelsior,Oleaceae,999,100,0.68492,0.2004,0.09288,1.36095,0.02819,0.18923,0.11279,1.00E-04,2.00E-04,0.0434,0.0026,0.0414,1.00E-04,1.00E-04
Fraxinus ornus,Oleaceae,999,88,0.68419,0.12345,0.04049,1.30482,0.00893,0.21614,0.10113,2.00E-04,2.00E-04,0.0551,0.004,0.0339,1.00E-04,1.00E-04
Fraxinus pallisiae,Oleaceae,999,3,0.7,0.23077,0,1.4327,0,0.2,0.1,0,0.0019,0,0.0186,0,0,0
Fraxinus pennsylvanica,Oleaceae,999,28,0.675,0.38696,0.38023,1.52192,0.18052,0.1908,0.18671,0.004,0.0061,0.9075,0.0372,1.1173,0.0018,0.005
Freesia refracta,Iridaceae,999,7,0.70909,0.18387,0.17029,1.55151,0.02673,0.22727,0.12941,5.00E-04,0.0065,1.1243,0.0639,0.3335,0.0015,0.0025
Fritillaria involucrata,Liliaceae,999,12,0.66596,0.16596,0.08343,1.3427,0.06679,0.24468,0.11064,0.0012,0.0023,0.6213,0.0163,0.5067,0.0016,4.00E-04
Fritillaria meleagris,Liliaceae,999,17,0.56321,0.47436,0.76974,1.74057,0.68149,0.20909,0.19848,0.0022,0.0021,0.4836,0.0792,0.5181,0.0054,0.0035
Fritillaria orientalis,Liliaceae,999,9,0.63774,0.16875,0.10023,1.38722,0.0415,0.23,0.11667,0.0074,0.0046,1.8783,0.0784,0.9343,0.0034,0.002
Fritillaria pontica,Liliaceae,999,6,0.7,0.13667,0.02196,1.31575,0,0.2,0.09655,0,0.0035,0.1729,0.0371,0,0,1.00E-04
Fritillaria pyrenaica,Liliaceae,999,11,0.52083,0.404,0.71892,1.72354,0.3068,0.33462,0.152,0.0079,0.0086,1.8977,0.1085,2.6556,0.0079,0.0072
Fritillaria ruthenica,Liliaceae,999,11,0.52041,0.38542,0.74695,1.65629,0.46945,0.34167,0.13265,0.0038,0.0029,0.4714,0.0566,1.3185,0.0034,0.0023
Fumana arabica,Cistaceae,999,15,0.71211,0.25751,0.39109,1.58573,0.03183,0.35567,0.17919,0.0014,0.0034,0.4272,0.0252,0.3378,0.0019,0.0018
Fumana ericifolia,Cistaceae,999,36,0.63911,0.25944,0.41474,1.51197,0.10966,0.34407,0.16223,6.00E-04,7.00E-04,0.144,0.0198,0.1556,6.00E-04,4.00E-04
Fumana ericoides,Cistaceae,999,31,0.63764,0.30888,0.64696,1.56549,0.10868,0.38473,0.1605,0.0015,0.0019,0.4255,0.0331,0.3907,0.0016,8.00E-04
Fumana laevipes,Cistaceae,999,17,0.66503,0.29119,0.45042,1.38536,0.07706,0.32956,0.14663,0.0021,0.0032,0.5235,0.0883,0.3569,0.0022,0.0013
Fumana laevis,Cistaceae,999,6,0.69565,0.19167,0.37697,1.65186,0.01832,0.36667,0.15833,2.00E-04,0.0042,1.8557,0.0432,0.2005,0.0081,0.0028
Fumana procumbens,Cistaceae,999,55,0.46781,0.4026,1.12229,1.72519,0.34255,0.37767,0.21213,6.00E-04,6.00E-04,0.1006,0.0179,0.2209,5.00E-04,5.00E-04
Fumana thymifolia,Cistaceae,999,37,0.67017,0.23986,0.39875,1.5193,0.06032,0.34221,0.15909,9.00E-04,0.0013,0.2091,0.032,0.1995,9.00E-04,6.00E-04
Fumaria agraria,Papaveraceae,999,5,0.858,0.858,2.12553,2.12553,0.73796,0.17609,0.71458,0.0021,0.0021,0.0113,0.0113,1.0516,0.0022,0.006
Fumaria capreolata,Papaveraceae,999,33,0.78754,0.65961,0.75724,1.62793,0.44628,0.22597,0.40538,0.0025,0.0041,0.381,0.0854,0.6292,0.0014,0.0036
Fumaria densiflora,Papaveraceae,999,7,0.87234,0.83404,1.15875,2.05826,0.55377,0.16875,0.65957,0.0032,0.0042,0.223,0.0157,1.7884,0.0041,0.0091
Fumaria flabellata,Papaveraceae,999,6,0.84583,0.77083,0.90098,2.00877,0.58364,0.21154,0.5,0.0051,0.0213,2.4493,0.102,2.5219,0.002,0.0123
Fumaria gaillardotii,Papaveraceae,999,3,0.86296,0.86296,2.18094,2.18094,0.86852,0.17778,0.68846,0.0031,0.0031,0.0249,0.0249,1.5903,0.0036,0.0103
Fumaria muralis,Papaveraceae,999,12,0.80526,0.79022,1.52599,2.06512,0.81853,0.19545,0.71319,0.003,0.0044,0.0745,0.0474,0.543,0.0034,0.0061
Fumaria officinalis,Papaveraceae,999,54,0.84855,0.83472,1.58923,2.03177,0.49726,0.14454,0.78919,8.00E-04,0.0011,0.075,0.0045,0.3078,7.00E-04,0.0014
Fumaria parviflora,Papaveraceae,999,11,0.84392,0.84218,2.12808,2.12882,0.87133,0.17755,0.70069,0.0014,0.0028,0.3311,0.0158,0.6335,0.0013,0.0042
Fumaria rostellata,Papaveraceae,999,12,0.80952,0.79851,1.59917,1.9672,0.54819,0.16515,0.76765,0.0033,0.0085,1.1187,0.0488,1.2268,0.0031,0.0088
Fumaria schleicheri,Papaveraceae,999,18,0.75086,0.64609,0.86218,1.68825,0.32722,0.17895,0.54917,0.0068,0.0108,1.0432,0.1483,1.783,0.0031,0.0135
Fumaria vaillantii,Papaveraceae,999,22,0.81625,0.78172,1.27732,1.95477,0.47602,0.16679,0.74545,0.0026,0.0037,0.3429,0.0288,0.7379,0.0017,0.0045
Gagea bohemica,Liliaceae,999,24,0.47829,0.46794,1.63444,1.75744,0.22504,0.34511,0.31691,0.0033,0.0035,0.1539,0.033,1.2782,0.0032,0.0038
Gagea bulbifera,Liliaceae,999,7,0.47297,0.47297,2.37972,2.35095,0.37733,0.47692,0.23333,0.0093,0.0093,0.0714,0.072,3.5256,0.0105,0.0056
Gagea graeca,Liliaceae,999,18,0.72667,0.36159,0.41732,1.57029,0.09406,0.35215,0.21964,0.0014,0.0047,0.5605,0.0254,0.6573,0.0017,0.0024
Gagea lutea,Liliaceae,999,23,0.68883,0.20282,0.07609,1.3501,0.02449,0.18489,0.10643,4.00E-04,0.0014,0.2526,0.0158,0.177,4.00E-04,3.00E-04
Gagea minima,Liliaceae,999,25,0.65052,0.33707,0.26627,1.48453,0.1436,0.24394,0.22222,0.0027,0.005,1.0164,0.0423,0.8727,0.0022,0.0041
Gagea pratensis,Liliaceae,999,26,0.74066,0.61429,0.72916,1.73124,0.26272,0.18081,0.54,0.0073,0.0116,1.2173,0.0578,1.5527,0.0051,0.0139
Gagea pusilla,Liliaceae,999,14,0.50429,0.484,1.40163,1.93288,0.70346,0.41739,0.19857,0.0055,0.0059,0.6628,0.0409,1.4997,0.0059,0.0059
Gagea soleirolii,Liliaceae,999,16,0.33016,0.29118,1.43109,1.62692,0.03449,0.27576,0.1303,0.0063,0.0044,0.0998,0.0931,1.2642,0.0065,0.0047
Gagea spathacea,Liliaceae,999,6,0.698,0.24796,0.09691,1.4404,0.00393,0.19706,0.1,0.0014,0.0039,0.7387,0.0402,0.0258,8.00E-04,3.00E-04
Gagea villosa,Liliaceae,999,13,0.77857,0.68,0.82581,1.81796,0.30173,0.23333,0.58929,0.0066,0.0201,2.8446,0.1171,2.634,0.0036,0.0183
Galactites tomentosus,Compositae,999,55,0.78296,0.70072,1.07227,1.81042,0.48638,0.26588,0.36977,0.0015,0.0021,0.1576,0.0333,0.2894,0.001,0.0014
Galanthus elwesii,Amaryllidaceae,997,4,0.7,0.1,0,1.30103,0,0.2,0.1,0,0,0,0,0,0,0
Galanthus nivalis,Amaryllidaceae,999,26,0.69442,0.1644,0.05582,1.33464,0.01141,0.18333,0.10382,3.00E-04,7.00E-04,0.1472,0.0079,0.0901,3.00E-04,2.00E-04
Galatella angustissima,Compositae,999,12,0.49236,0.47447,1.64795,1.95806,0.74851,0.41429,0.16788,0.0018,0.0022,0.3553,0.0358,0.8827,0.0029,0.002
Galatella divaricata,Compositae,999,5,0.48276,0.48276,1.86034,1.86034,0.55714,0.47097,0.20667,0.0014,0.0014,0.0432,0.0432,2.1988,0.0035,0.0032
Galatella linosyris,Compositae,999,49,0.49046,0.45301,1.22686,1.79955,0.52687,0.3171,0.15876,0.0012,0.0015,0.2014,0.0256,0.4248,0.001,0.0011
Galatella sedifolia,Compositae,999,42,0.62359,0.27718,0.2865,1.48213,0.16611,0.27955,0.13514,0.0014,0.0023,0.4476,0.0272,0.4777,0.0014,0.0012
Galatella villosa,Compositae,999,26,0.48816,0.48491,1.94731,2.04826,0.62401,0.43324,0.19824,0.0011,0.0012,0.0155,0.0154,0.3583,0.0013,0.001
Galega officinalis,Fabaceae,999,34,0.60395,0.5457,0.91324,1.45871,0.55341,0.21143,0.22805,0.0031,0.0032,0.2646,0.0519,0.5997,0.0029,0.0026
Galega orientalis,Fabaceae,999,9,0.62857,0.53793,0.78203,1.62761,0.61979,0.21852,0.17,0.0071,0.0159,2.6157,0.0916,2.4883,0.0044,0.008
Galeopsis angustifolia,Lamiaceae,999,55,0.59575,0.48103,0.71025,1.47535,0.20472,0.17725,0.3357,0.0018,0.0025,0.2748,0.02,0.4377,9.00E-04,0.0028
Galeopsis ladanum,Lamiaceae,999,52,0.74063,0.60533,0.65802,1.64556,0.31067,0.16629,0.50585,0.0023,0.0039,0.45,0.026,0.6212,0.0012,0.0046
Galeopsis pubescens,Lamiaceae,999,59,0.69084,0.34099,0.24288,1.38046,0.14752,0.18369,0.20447,8.00E-04,0.0017,0.2654,0.0157,0.2537,4.00E-04,0.0016
Galeopsis pyrenaica,Lamiaceae,999,11,0.38689,0.34561,0.99993,1.46218,0.02275,0.15738,0.17241,0.002,0.0017,0.2365,0.0727,0.1682,0.0048,0.0023
Galeopsis segetum,Lamiaceae,999,21,0.64385,0.63435,1.4072,1.61033,0.33671,0.14365,0.50656,0.0039,0.0054,0.5596,0.0468,0.9742,0.0032,0.0066
Galeopsis speciosa,Lamiaceae,999,66,0.68349,0.38461,0.3031,1.4025,0.14897,0.17151,0.23121,8.00E-04,0.0015,0.2164,0.0226,0.2233,4.00E-04,0.0015
Galeopsis tetrahit aggr.,Lamiaceae,999,92,0.70543,0.43689,0.35602,1.47088,0.19007,0.17025,0.32012,4.00E-04,7.00E-04,0.0944,0.0066,0.0983,2.00E-04,7.00E-04
Galinsoga parviflora,Compositae,999,41,0.83442,0.82815,1.74393,1.95424,0.56492,0.14366,0.76251,7.00E-04,8.00E-04,0.0417,0.0093,0.2594,6.00E-04,0.0015
Galinsoga quadriradiata,Compositae,999,28,0.83978,0.8353,1.7785,1.92575,0.41866,0.13339,0.7581,0.0015,0.0016,0.0413,0.0226,0.3898,0.0011,0.0027
Galium aetnicum,Rubiaceae,999,15,0.53146,0.32921,0.64224,1.4909,0.06841,0.33678,0.10682,0.003,0.0039,0.5647,0.0708,0.1929,0.0019,5.00E-04
Galium anisophyllon,Rubiaceae,999,59,0.36727,0.29186,0.76328,1.10159,0.07815,0.25158,0.11768,6.00E-04,5.00E-04,0.1325,0.0802,0.1329,5.00E-04,4.00E-04
Galium aparine,Rubiaceae,999,134,0.67317,0.45023,0.43732,1.4267,0.22701,0.17304,0.27906,3.00E-04,4.00E-04,0.0586,0.0046,0.0645,1.00E-04,5.00E-04
Galium arenarium,Rubiaceae,999,7,0.35104,0.35053,2.17271,2.17271,0.00925,0.10638,0.71837,0.0017,0.0019,0.0366,0.0366,0.4985,0.0019,0.0042
Galium aristatum,Rubiaceae,999,21,0.69291,0.11548,0.01719,1.27829,0.01026,0.19726,0.10068,4.00E-04,5.00E-04,0.114,0.0814,0.1093,2.00E-04,1.00E-04
Galium austriacum,Rubiaceae,999,26,0.50951,0.2556,0.3935,1.30453,0.08497,0.22835,0.13992,0.003,0.0029,0.7925,0.0584,0.789,0.0013,0.0015
Galium bernardii,Rubiaceae,964,8,0.48261,0.42609,1.27909,2.02228,0.04085,0.45217,0.18095,0.0158,0.0162,0.2868,0.0462,0.5621,0.0113,0.0106
Galium biebersteinii,Rubiaceae,999,8,0.52167,0.43167,0.89842,1.8673,0.487,0.35645,0.17258,5.00E-04,0.0015,0.2656,0.0163,0.6538,0.0022,0.0013
Galium boreale,Rubiaceae,999,80,0.52342,0.41041,0.75204,1.75714,0.60432,0.21531,0.18468,5.00E-04,6.00E-04,0.1271,0.0083,0.1511,4.00E-04,5.00E-04
Galium broterianum,Rubiaceae,999,17,0.45775,0.29225,0.67243,1.60997,0.02835,0.13669,0.12411,0.0027,0.0024,0.2638,0.0227,0.579,0.0013,0.0014
Galium cometerhizon,Rubiaceae,999,8,0.35532,0.35532,1.39285,1.39285,0,0.09298,0.16981,0.0032,0.0032,0.263,0.263,0,0.0071,0.0034
Galium corrudifolium,Rubiaceae,999,67,0.56452,0.36803,0.59127,1.57046,0.26662,0.34545,0.18171,6.00E-04,7.00E-04,0.1487,0.0176,0.1603,5.00E-04,4.00E-04
Galium corsicum,Rubiaceae,999,26,0.3753,0.25432,0.70491,1.34664,0.04048,0.24578,0.08696,0.0031,0.0014,0.5576,0.0515,0.3673,0.0019,8.00E-04
Galium debile,Rubiaceae,999,23,0.43612,0.42741,1.6014,1.86646,0.47309,0.26523,0.10155,0.0033,0.0034,0.0436,0.0307,0.79,0.0057,8.00E-04
Galium divaricatum,Rubiaceae,999,42,0.50396,0.45471,1.27357,1.93464,0.49416,0.3521,0.24796,0.0017,0.0018,0.174,0.0111,0.3109,0.0011,9.00E-04
Galium flavescens,Rubiaceae,999,13,0.49512,0.36739,0.75527,1.51974,0.232,0.31522,0.18864,0.0072,0.007,1.5148,0.1005,1.549,0.0039,0.003
Galium fruticosum,Rubiaceae,999,13,0.68095,0.33333,0.27904,1.3725,0.10496,0.30625,0.15781,0.0022,0.0062,1.1035,0.064,0.769,0.0026,0.0028
Galium glaucum,Rubiaceae,999,42,0.49096,0.35068,0.62751,1.57758,0.26753,0.291,0.15018,0.001,0.0012,0.2674,0.0235,0.3492,7.00E-04,7.00E-04
Galium graecum,Rubiaceae,999,12,0.66222,0.458,0.54061,1.22315,0.25713,0.35556,0.17234,0.0085,0.0123,1.5724,0.3206,1.969,0.0062,0.0076
Galium heldreichii,Rubiaceae,999,15,0.67188,0.27813,0.22192,1.49783,0.12142,0.2625,0.15313,0.0036,0.0056,1.4857,0.0674,0.8236,0.0021,0.0018
Galium hellenicum,Rubiaceae,999,15,0.56863,0.216,0.27423,1.42359,0.02592,0.23529,0.10196,0.0053,0.0012,0.7177,0.021,0.0988,0.0019,0.0014
Galium humifusum,Rubiaceae,999,45,0.57762,0.55047,1.34548,1.81376,0.49469,0.29781,0.28527,0.0022,0.0024,0.1849,0.0261,0.5018,0.002,0.0026
Galium idubedae,Rubiaceae,999,9,0.53714,0.38485,0.68292,1.7349,0.47038,0.3,0.13243,0.0084,0.0087,1.9317,0.0998,2.4001,0.0053,0.004
