"Analysis.Names","heightmean","heightmax","floweringmin","floweringmax","floweringmean","floweringwidth","alien","bryophyte","chamaephyte","geophyte","hemicryptophyte","hydrophyte","therophyte","phanerophyte","repetido","EIVE1.M","EIVE1.N","EIVE1.R","EIVE1.L","EIVE1.T","Disturbance.Severity","Disturbance.Severity.herblayer","Disturbance.Frequency","Disturbance.Frequency.herblayer","Mowing.Frequency","Grazing.Pressure","Soil.Disturbance"
"Chenopodium album",200,150,5,11,8,7,0,0,0,0,0,0,1,0,0,3.6,7.6,6.2,7.5,4.5,NA,NA,NA,NA,NA,NA,NA
"Chenopodium opulifolium",150,100,3,11,7,9,0,0,0,0,0,0,1,0,0,3.4,6.5,6.6,8,5.4,0.85876,0.85298,1.80697,2.01373,0.95347,0.1125,0.75085
"Chenopodium vulvaria",40,70,4,10,7,7,0,0,0,0,0,0,1,0,0,3.5,9.6,7,7.5,5.5,0.84637,0.84057,1.74635,2.0009,0.92749,0.13833,0.69114
"Chondrilla juncea",45,80,4,9,6.5,6,0,0,0,0,1,0,0,0,0,2.6,4.9,6.8,8,5.6,0.59887,0.58516,1.60972,1.91115,0.57997,0.27664,0.36035
"Chrysosplenium oppositifolium",5,15,2,6,4,5,0,0,0,0,1,0,0,0,0,7.4,5.4,5.1,4.8,3.9,0.53468,0.27139,0.36464,1.43221,0.04115,0.14003,0.12734
"Cichorium intybus",42,150,6,9,7.5,4,0,0,0,0,1,0,0,0,0,3.7,5.3,7.4,8.5,4.8,0.65335,0.63877,1.54613,1.86308,0.84132,0.21596,0.3443
"Circaea lutetiana",250,60,6,9,7.5,4,0,0,0,1,0,0,0,0,0,5.4,7.2,6.9,3.1,4.3,0.68884,0.21964,0.08742,1.36742,0.01942,0.18721,0.10625
"Cirsium arvense",200,130,7,9,8,3,0,0,0,1,0,0,0,0,0,4.3,6.9,6,7.8,4.1,0.62393,0.60267,1.39471,1.77442,0.6433,0.24014,0.43141
"Cirsium eriophorum",3000,150,7,8,7.5,2,0,0,0,0,1,0,0,0,0,3.4,5.7,8.4,8.2,3.8,0.50971,0.45863,1.10678,1.83017,0.66439,0.27615,0.23105
"Cirsium filipendulum",150,60,6,9,7.5,4,0,0,0,0,1,0,0,0,0,4.9,2.3,2.1,6.7,5,0.48159,0.37755,0.82251,1.74,0.42361,0.27563,0.15707
"Cirsium odontolepis",230,70,7,8,7.5,2,0,0,0,0,1,0,0,0,0,2.9,6.7,6.7,8.1,5.9,NA,NA,NA,NA,NA,NA,NA
"Cirsium oleraceum",40,150,6,7,6.5,2,0,0,0,0,1,0,0,0,0,6.1,6.1,7.4,5.6,3.9,0.58285,0.4342,0.58062,1.49783,0.37102,0.17143,0.1523
"Cirsium palustre",70,200,6,8,7,3,0,0,0,0,1,0,0,0,0,6.4,4,4.3,6.8,3.9,0.48986,0.42966,1.02126,1.68152,0.61995,0.22693,0.17554
"Cirsium pannonicum",50,80,6,7,6.5,2,0,0,0,0,1,0,0,0,0,3.6,3.3,7.3,7,4.8,0.50978,0.45287,1.00162,1.76896,0.8682,0.26327,0.1381
"Cirsium pyrenaicum aggr.",30,150,6,9,7.5,4,0,0,0,0,1,0,0,0,0,5,3.9,5.2,8.1,3.3,0.40514,0.38864,1.54958,1.85049,0.93869,0.33378,0.12406
"Cirsium richterianum",100,70,7,9,8,3,0,0,0,0,1,0,0,0,0,2.4,6.3,7.3,8.2,2.3,0.67667,0.6623,1.69986,1.69986,1.10192,0.25833,0.23333
"Cirsium vulgare",100,250,6,9,7.5,4,0,0,0,0,1,0,0,0,0,4.2,7.5,6.4,7.8,4.3,0.5681,0.51951,1.12401,1.73868,0.64408,0.31575,0.32626
"Cistus salviifolius",20,90,3,6,4.5,4,0,0,0,0,0,0,0,1,0,1.9,2.1,4.6,8,6.9,0.66791,0.22019,0.23128,1.37053,0.02216,0.26643,0.11048
"Cladanthus mixtus",35,40,3,8,5.5,6,0,0,0,0,0,0,1,0,0,2.5,2.2,2.4,8.6,6.3,0.67681,0.64662,1.38065,2.14089,0.5052,0.23864,0.40725
"Clematis vitalba",50,50,6,8,7,3,0,0,0,0,0,0,0,1,0,4.4,6.6,7.2,6.4,4.9,0.67274,0.19896,0.13039,1.32576,0.04466,0.20186,0.11616
"Clinopodium menthifolium aggr.",30,75,7,10,8.5,4,0,0,0,0,1,0,0,0,0,3.8,4.2,8.2,6,5,0.66982,0.16215,0.07662,1.32903,0.04812,0.20643,0.10711
"Clinopodium nepeta",20,75,2,12,7,11,0,0,0,0,1,0,0,0,0,2.9,4.3,7.9,6.6,5.6,0.69397,0.48852,0.48835,1.49824,0.29134,0.25243,0.24019
"Clinopodium vulgare",100,95,5,10,7.5,6,0,0,0,0,1,0,0,0,0,3.6,3.4,6.8,6.5,4.2,0.62163,0.24005,0.21377,1.41529,0.15706,0.21164,0.13834
"Cochlearia officinalis",10,30,4,5,4.5,2,1,0,0,0,1,0,0,0,0,5.8,5.3,6.4,8,4.5,0.48896,0.48667,1.75595,1.79118,0.08881,0.42787,0.23071
"Coincya monensis aggr.",10,100,4,8,6,5,0,0,0,0,1,0,0,0,0,3.5,3.7,5.6,9.5,6,0.462,0.44503,1.34004,1.52093,0.26543,0.22488,0.25729
"Colchicum montanum",80,4,7,11,9,5,0,0,0,1,0,0,0,0,0,4.2,3.4,5.3,6.7,3.6,0.4535,0.4493,2.00138,2.00653,0.57866,0.46888,0.221
"Coleostephus myconis",70,50,3,8,5.5,6,0,0,0,0,0,0,1,0,0,2.8,5,5.2,8.2,6.2,0.7119,0.68901,1.43171,1.89218,0.54955,0.26789,0.37421
"Conium maculatum",25,200,3,8,5.5,6,0,0,0,0,1,0,0,0,0,4.6,8.1,6.2,7.5,4.8,0.72376,0.6326,0.85414,1.59298,0.5676,0.17984,0.31354
"Conopodium arvense aggr.",2000,40,4,8,6,5,0,0,0,1,0,0,0,0,0,3.4,1.8,3.2,8.1,3.9,0.61383,0.304,0.30461,1.41635,0.10125,0.282,0.16374
"Conopodium majus",100,60,4,8,6,5,0,0,0,0,1,0,0,0,0,4.2,4.6,4,6.7,3.9,0.57255,0.29043,0.35923,1.51128,0.23438,0.23586,0.20217
"Conopodium subcarneum",70,60,5,7,6,3,0,0,0,1,0,0,0,0,0,4.5,1.8,4.2,8.1,3.3,0.55312,0.33143,0.42882,1.59517,0.27997,0.35294,0.21212
"Consolida ajacis",3000,100,5,8,6.5,4,1,0,0,0,0,0,1,0,0,3.3,5.8,7.4,7.7,6.1,0.87241,0.80345,1.44998,2.0015,0.23895,0.15,0.67586
"Consolida regalis",300,300,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,3.5,5.2,7.5,7.1,5.3,0.81394,0.80939,1.87737,1.99616,0.4099,0.15474,0.71628
"Convolvulus arvensis",2500,200,1,12,6.5,12,0,0,0,1,0,0,0,0,0,3.6,5.2,7,7.1,5,0.69239,0.67894,1.55406,1.88846,0.70954,0.18169,0.49207
"Corema album",75,75,3,4,3.5,2,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus sanguinea",35,500,5,7,6,3,0,0,0,0,0,0,0,1,0,4.4,5.3,7.5,6.3,4.3,0.66959,0.18576,0.11569,1.33503,0.03304,0.20329,0.10324
"Coronilla scorpioides",50,55,4,6,5,3,0,0,0,0,0,0,1,0,0,1.9,3.3,6.8,8.3,6.5,0.71108,0.5868,0.83094,1.77756,0.29022,0.29315,0.32954
"Corrigiola litoralis",160,50,3,9,6,7,0,0,0,0,0,0,1,0,0,5.5,4.8,4.5,8.2,5.1,0.78548,0.78306,1.79545,1.84923,0.16707,0.1887,0.44595
"Corrigiola telephiifolia",90,80,4,8,6,5,0,0,1,0,0,0,0,0,0,3,2.9,2.4,8.3,5.2,0.53659,0.52273,1.90492,2.00807,0.288,0.25652,0.375
"Cortaderia selloana",2000,300,7,12,9.5,6,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0.60294,0.55429,1.04754,1.50624,0.42903,0.23784,0.23158
"Corylus avellana",800,800,1,3,2,3,0,0,0,0,0,0,0,1,0,4.4,5.7,5.7,5.4,4.3,0.68875,0.15578,0.06738,1.33709,0.01209,0.19346,0.10567
"Corynephorus canescens",6,50,6,8,7,3,0,0,0,0,1,0,0,0,0,2.4,1.8,3.1,8.3,4.9,0.41438,0.36556,1.16035,1.9401,0.21513,0.26972,0.39925
"Cotoneaster coriaceus",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotula australis",400,10,4,8,6,5,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassula tillaea",50,8,1,8,4.5,8,0,0,0,0,0,0,1,0,0,5,2.7,4.5,8.1,5.8,0.56434,0.53937,1.74121,2.0595,0.35868,0.38421,0.32538
"Crataegus monogyna",130,500,2,7,4.5,6,0,0,0,0,0,0,0,1,0,4,4.5,6.9,6.9,4.8,0.65822,0.18308,0.12585,1.33583,0.04533,0.21048,0.11227
"Crepis capillaris",75,60,3,10,6.5,8,0,0,0,0,0,0,1,0,0,3.9,4.1,5.7,7.3,4.5,0.52833,0.51569,1.63653,2.07309,0.96127,0.27844,0.39266
"Crepis foetida",85,50,4,8,6,5,0,0,0,0,0,0,1,0,0,3,5,6.9,8.7,6,NA,NA,NA,NA,NA,NA,NA
"Crepis lampsanoides",81,86,5,8,6.5,4,0,0,0,0,1,0,0,0,0,5.1,6.2,7,6,3.7,0.64839,0.17897,0.12646,1.3465,0.02643,0.19589,0.1015
"Crepis pulchra",80,90,5,7,6,3,0,0,0,0,0,0,1,0,0,3.3,5.8,7.6,6.6,5.8,0.7,0.61284,0.88281,1.73725,0.50564,0.21342,0.40323
"Crepis vesicaria",120,45,4,5,4.5,2,0,0,0,0,1,0,1,0,0,3.8,6.6,6.6,7.9,6.7,0.66414,0.54648,0.7991,1.80405,0.50385,0.2356,0.33878
"Crithmum maritimum",110,45,5,7,6,3,0,0,1,0,0,0,0,0,0,3.4,5,6.5,9.1,7,0.32256,0.31041,0.77244,0.80101,0.08731,0.10925,0.23849
"Crocosmia x crocosmiiflora",30,80,6,8,7,3,1,0,0,1,0,0,0,0,0,5.1,4.3,3.3,6.8,NA,0.67255,0.40189,0.38681,1.52288,0.05654,0.20392,0.15283
"Crucianella angustifolia",75,45,4,7,5.5,4,0,0,0,0,0,0,1,0,0,2.1,3.3,6.3,8.1,6.5,0.60926,0.45743,0.69663,1.73127,0.27976,0.32141,0.23624
"Crucianella maritima",50,50,5,8,6.5,4,0,0,1,0,0,0,0,0,0,2.5,4.5,6.4,8.5,7.5,0.3429,0.32256,1.41001,1.52967,0.00729,0.16289,0.48515
"Cruciata glabra",800,35,4,7,5.5,4,0,0,0,0,1,0,0,0,0,4.4,5.1,5.8,6.4,4.2,0.60253,0.26045,0.25287,1.44059,0.18853,0.20389,0.15087
"Cruciata laevipes",50,75,4,7,5.5,4,0,0,0,0,1,0,0,0,0,4.6,6.3,6,6.5,4.2,0.56928,0.38054,0.51423,1.52237,0.38135,0.20138,0.21407
"Cruciata pedemontana",40,40,5,7,6,3,0,0,0,0,0,0,1,0,0,3.1,2.8,6.4,7.3,5.4,0.53912,0.49213,1.15798,1.79585,0.4426,0.31875,0.2457
"Crypsis alopecuroides",1.3,40,7,10,8.5,4,0,0,0,0,0,0,1,0,0,5.3,3.6,7.5,8.3,5.9,0.65357,0.64539,1.69726,1.8488,0.24587,0.24143,0.33404
"Cuscuta campestris",45,45,5,10,7.5,6,1,0,0,0,0,0,1,0,0,4.1,5.3,6.4,7.3,5.5,0.70903,0.69028,1.38372,1.81078,0.41064,0.17569,0.49859
"Cuscuta europaea",200,200,6,10,8,5,0,0,0,0,0,0,1,0,0,5.7,7.4,6.5,6.4,4.6,0.56911,0.49109,0.86191,1.29235,0.48024,0.18363,0.17284
"Cyanus segetum",300,85,4,9,6.5,6,0,0,0,0,0,0,1,0,0,3.8,5.5,5.5,7.5,4.9,0.88976,0.88626,1.9113,2.11778,0.27717,0.1004,0.87089
"Cymbalaria muralis",1,70,1,11,6,11,0,0,0,0,1,0,0,0,0,4.5,4.5,7.6,6.6,5.4,0.56653,0.33976,0.3602,1.05451,0.14169,0.14122,0.20123
"Cynodon dactylon",150,40,1,12,6.5,12,0,0,0,1,1,0,0,0,0,3.3,5.3,6.5,8,5.9,0.65056,0.63584,1.49629,1.83257,0.53796,0.25839,0.41461
"Cynoglossum creticum",50,70,3,7,5,5,0,0,0,0,1,0,0,0,0,2.5,7.4,7.6,7.5,6.6,0.74933,0.62646,0.71323,1.61179,0.41637,0.23717,0.33514
"Cynoglossum dioscoridis",20,40,5,7,6,3,0,0,0,0,1,0,0,0,0,3.2,7.4,8,7.9,4.9,NA,NA,NA,NA,NA,NA,NA
"Cynosurus cristatus",80,95,5,8,6.5,4,0,0,0,0,1,0,0,0,0,4.4,4.3,5.6,7.8,3.9,0.50421,0.49749,1.83545,2.2368,1.2334,0.37538,0.34444
"Cynosurus echinatus",40,80,4,8,6,5,0,0,0,0,0,0,1,0,0,2.6,4.9,5.5,8.6,6.3,0.62313,0.44292,0.58536,1.66338,0.27533,0.28433,0.23801
"Cynosurus effusus",1400,80,4,7,5.5,4,0,0,0,0,0,0,1,0,0,2.2,2.6,7.1,8.6,6.5,0.64629,0.24956,0.22986,1.44585,0.06575,0.28452,0.1385
"Cyperus capitatus",40,40,4,10,7,7,0,0,0,1,1,0,0,0,0,2.9,4.4,7,9.6,7.9,0.43282,0.41723,1.65684,1.95481,0.01323,0.13253,0.66005
"Cyperus eragrostis",30,80,4,10,7,7,1,0,0,1,1,0,0,0,0,6,6,6.1,7.6,6,0.59087,0.51745,0.92286,1.59111,0.32132,0.27682,0.22694
"Cyperus esculentus",80,60,6,11,8.5,6,0,0,0,1,1,0,0,0,0,5.7,6,6.6,8.4,7.5,0.79324,0.78514,1.56296,1.76362,0.29626,0.15676,0.46486
"Cyperus flavescens",7,30,7,11,9,5,0,0,0,0,0,0,1,0,0,6.3,5.1,6.2,8.2,5,0.64167,0.63732,1.84296,1.98135,0.21322,0.28531,0.27376
"Cyperus fuscus",6,13,6,9,7.5,4,0,0,0,0,0,0,1,0,0,7.1,5.6,6.2,8.5,4.8,0.66508,0.6576,1.62329,1.79316,0.11393,0.2123,0.30871
"Cyperus longus",35,78,5,11,8,7,0,0,0,0,1,0,0,0,0,7.3,5.6,6.1,7.9,5.6,0.42981,0.38131,1.08447,1.74257,0.31829,0.22989,0.14987
"Cyperus michelianus",1.5,6.7,2,11,6.5,10,0,0,0,0,0,0,1,0,0,6.6,5.6,6.5,8.4,5.3,0.79091,0.78015,1.68081,1.95374,0.03417,0.20942,0.38222
"Cyperus rotundus",110,30,5,11,8,7,0,0,0,1,1,0,0,0,0,5.7,6.8,7.2,8.2,7.5,0.85446,0.8505,2.01189,2.31894,0.95983,0.1433,0.65354
"Cystopteris fragilis aggr.",45,45,6,11,8.5,6,0,0,0,1,1,0,0,0,0,5.2,4.3,7.1,4.3,3.8,0.56701,0.20685,0.20977,1.12149,0.0425,0.1656,0.11045
"Cytisus oromediterraneus",76,100,5,6,5.5,2,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cytisus scoparius",106,200,2,7,4.5,6,0,0,0,0,0,0,0,1,0,3.8,3.3,3.1,7.4,4.4,0.5565,0.22918,0.29477,1.38287,0.099,0.24673,0.15301
"Cytisus striatus",50,300,4,7,5.5,4,0,0,0,0,0,0,0,1,0,3.1,2.9,3.1,7.9,5.9,0.36989,0.2016,0.60531,1.3437,0.02264,0.29144,0.11263
"Dactylis glomerata",50,150,3,10,6.5,8,0,0,0,0,1,0,0,0,0,4.3,6.3,6,6.8,4.5,0.56899,0.4288,0.64817,1.63031,0.49671,0.22558,0.25973
"Dactylorhiza elata",43,73,5,7,6,3,0,0,0,1,0,0,0,0,0,6.8,1.6,7.3,9.5,6.2,0.38689,0.35841,1.4114,2.00628,0.89617,0.33279,0.13607
"Daphne gnidium",200,200,6,10,8,5,0,0,0,0,0,0,0,1,0,2.7,3.7,4,6.9,6.8,0.67785,0.18909,0.1765,1.35587,0.00817,0.26448,0.10703
"Daphne laureola",50,100,1,5,3,5,0,0,0,0,0,0,0,1,0,3.9,4,7.6,3.8,5.3,0.68884,0.11381,0.02457,1.2996,0.00303,0.1998,0.0993
"Datura stramonium",30,165,5,11,8,7,1,0,0,0,0,0,1,0,0,3.9,8,6.6,8,5.4,0.84804,0.83777,1.65487,2.0059,0.84497,0.13069,0.72038
"Daucus carota",82,170,3,9,6,7,0,0,0,0,1,0,1,0,0,3.7,4.5,6.6,8.1,4.8,0.57545,0.53032,1.14497,1.72102,0.70077,0.21269,0.32208
"Delairea odorata",120,300,11,13,12,3,1,0,0,0,0,0,0,1,1,1.7,0.8,5.3,9.4,7.3,NA,NA,NA,NA,NA,NA,NA
"Delphinium peregrinum",20,90,6,8,7,3,0,0,0,0,0,0,1,0,0,2.2,4,8.6,8.4,6.8,NA,NA,NA,NA,NA,NA,NA
"Descurainia tanacetifolia",55,115,6,8,7,3,0,0,0,0,1,0,0,0,0,5.2,4.3,4.1,6.4,2.1,0.43793,0.22667,0.64729,1.43586,0.01493,0.175,0.12069
"Dianthus armeria",60,45,5,8,6.5,4,0,0,0,0,0,0,1,0,0,3.5,3.3,5.4,6.5,4.9,0.55254,0.42869,0.69112,1.76493,0.56893,0.2566,0.25105
"Dichondra micrantha",1,1,2,5,3.5,4,1,0,0,1,1,0,0,0,0,4.9,2.3,4.2,5,6.1,NA,NA,NA,NA,NA,NA,NA
"Dichoropetalum carvifolia",20,60,7,9,8,3,0,0,0,0,1,0,0,0,0,4.1,4.2,7,6.9,5,0.52288,0.41914,0.88611,1.63716,0.62918,0.18143,0.2529
"Digitalis parviflora",80,60,5,8,6.5,4,0,0,0,0,1,0,0,0,0,3.1,2.3,6.9,8.8,4.6,0.52258,0.32105,0.67728,1.51689,0.18692,0.28621,0.11034
"Digitalis purpurea",50,100,5,8,6.5,4,0,0,0,0,1,0,0,0,0,4.5,6.1,2.8,6.3,4.3,0.62646,0.25957,0.23957,1.35635,0.1135,0.2011,0.15748
"Digitaria ischaemum",25,35,6,10,8,5,0,0,0,0,0,0,1,0,0,4.1,3.7,3.1,7.5,4.8,0.80331,0.80147,1.99824,2.10103,0.45098,0.14874,0.70081
"Digitaria sanguinalis",100,60,6,11,8.5,6,0,0,0,0,0,0,1,0,0,3.5,5.5,5.2,7.3,5.2,0.81375,0.81056,1.87629,2.01016,0.81,0.15837,0.64088
"Dioscorea communis",100,20,3,6,4.5,4,0,0,0,1,0,0,0,0,0,4.4,5.5,7.5,5.5,5.6,0.68707,0.14404,0.06178,1.30695,0.00922,0.21414,0.09968
"Diplotaxis catholica",25,80,9,18,1.5,10,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis muralis",40,50,4,10,7,7,0,0,0,0,1,0,1,0,0,3.4,5.8,7.6,8.1,5.7,0.77719,0.76786,1.6214,1.91258,0.88621,0.16495,0.60572
"Diplotaxis tenuifolia",45,100,4,12,8,9,0,0,0,0,1,0,0,0,0,3.3,5.5,6.7,8,5.5,0.72821,0.71357,1.55099,1.82887,0.72433,0.18479,0.47139
"Dipsacus fullonum",60,150,7,8,7.5,2,0,0,0,0,1,0,0,0,0,4.9,6.6,7.4,8.2,4.9,0.62749,0.58201,1.11218,1.53794,0.69579,0.21134,0.22838
"Dittrichia graveolens",100,70,8,11,9.5,4,1,0,0,0,0,0,1,0,0,3.2,6,7.5,8.8,6.1,0.73284,0.73284,1.75678,1.75678,0.53457,0.15,0.45373
"Dittrichia viscosa",4000,100,4,11,7.5,8,0,0,1,0,1,0,0,0,0,4,6.5,7.2,9.1,6.7,0.60787,0.53671,0.96724,1.42455,0.35903,0.23008,0.24443
"Doronicum austriacum",150,150,6,8,7,3,1,0,0,1,1,0,0,0,0,5.3,7.5,6.3,4.7,2.7,0.59217,0.18741,0.16642,1.15955,0.03716,0.18415,0.10081
"Dorycnium hirsutum",50,50,4,6,5,3,0,0,1,0,1,0,0,0,0,1.6,3.1,7.7,7,7.1,0.63211,0.28621,0.31686,1.30555,0.09103,0.25288,0.1222
"Dorycnium rectum",30,200,5,7,6,3,0,0,1,0,1,0,0,0,0,5.7,3.4,7.7,7.3,7,0.51042,0.40159,0.72599,1.54347,0.36793,0.22016,0.12934
"Draba verna",15,18,2,7,4.5,6,0,0,0,0,0,0,1,0,0,3.1,3.1,5.7,7.9,4.9,NA,NA,NA,NA,NA,NA,NA
"Drabella muralis",35,40,3,6,4.5,4,0,0,0,0,0,0,1,0,0,3.6,4.2,7.7,7,5.2,0.62621,0.53931,0.86297,1.62456,0.33747,0.25211,0.37639
"Dryopteris borreri",35,130,6,10,8,5,0,0,0,0,1,0,0,0,0,4.7,4.8,4.8,2.5,3.3,NA,NA,NA,NA,NA,NA,NA
"Dryopteris filix-mas",40,120,5,10,7.5,6,0,0,0,0,1,0,0,0,0,4.9,5.7,5.4,2.8,4,0.68588,0.14725,0.05448,1.29054,0.01205,0.18612,0.10546
"Dysphania ambrosioides",80,80,5,12,8.5,8,1,0,0,0,0,0,1,0,1,4.2,6.6,6.9,8,5.5,0.79843,0.77722,1.48715,1.8231,0.31136,0.17302,0.46107
"Dysphania pumilio",40,40,7,10,8.5,4,1,0,0,0,0,0,1,0,1,3.4,8.1,6.8,9.1,5.9,NA,NA,NA,NA,NA,NA,NA
"Echinochloa crus-galli",30,100,6,10,8,5,0,0,0,0,0,0,1,0,0,5,8.2,6.2,6.7,5.5,0.78493,0.78038,1.71863,1.84495,0.41904,0.15837,0.61915
"Echium lusitanicum",65,90,6,8,7,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium plantagineum",2500,80,2,7,4.5,6,0,0,0,0,1,0,1,0,0,2.8,6.8,6.2,8.6,6.3,0.81315,0.77333,1.17968,1.93336,0.58886,0.23417,0.43719
"Echium rosulatum",17,100,5,8,6.5,4,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium salmanticum",120,180,6,10,8,5,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium vulgare",30,100,5,8,6.5,4,0,0,0,0,1,0,0,0,0,3.1,4.1,6.6,8.8,4.7,0.57633,0.55499,1.44489,1.81436,0.579,0.25616,0.27657
"Eleocharis multicaulis",12,30,2,11,6.5,10,0,0,0,0,1,0,0,0,0,8,2,3.3,8,5,0.14753,0.1409,1.33209,1.36357,0.06817,0.09429,0.13372
"Eleocharis palustris",1200,60,3,11,7,9,0,0,0,1,1,0,0,0,0,7.6,4.6,6.3,7.8,4,0.37118,0.3692,1.7858,1.82936,0.33049,0.25604,0.12829
"Eleusine indica",1100,60,7,12,9.5,6,1,0,0,0,0,0,1,0,0,3.5,7.1,6.2,8.5,6.8,0.88,0.88,2.62976,2.62976,1.33043,0.11818,0.52182
"Elymus caninus",600,155,5,9,7,5,0,0,0,0,1,0,0,0,0,5.2,7.9,7.2,5.1,4.1,0.64576,0.32426,0.27205,1.36548,0.10235,0.18347,0.12682
"Elytrigia atherica",100,150,6,9,7.5,4,0,0,0,1,1,0,0,0,0,4.6,5.9,7.2,8.8,5.2,0.47463,0.46507,1.43525,1.51532,0.10698,0.32072,0.26686
"Elytrigia campestris",600,120,5,9,7,5,0,0,0,0,1,0,0,0,0,3.4,5.7,6.6,8.3,5.4,0.57791,0.54453,1.29983,1.77987,0.52461,0.25466,0.28142
"Elytrigia intermedia",20,120,5,9,7,5,0,0,0,1,0,0,0,0,0,2.8,4.4,7.9,7.3,5.2,0.51987,0.47271,1.14657,1.75195,0.59995,0.31766,0.16549
"Elytrigia repens",40,160,4,9,6.5,6,0,0,0,1,0,0,0,0,0,4.3,7.2,6.2,7.3,4.2,NA,NA,NA,NA,NA,NA,NA
"Epilobium angustifolium",60,150,6,9,7.5,4,0,0,0,0,1,0,0,0,0,4.5,7.2,4.4,7.3,3.5,0.64058,0.29989,0.30275,1.34248,0.13188,0.19463,0.19041
"Epilobium hirsutum",85,150,6,10,8,5,0,0,0,0,1,0,0,0,0,6.5,7.6,7.3,6.9,4.5,0.46459,0.41665,0.98972,1.42624,0.46979,0.18153,0.14439
"Epilobium lanceolatum",170,65,6,8,7,3,0,0,0,0,1,0,0,0,0,4.1,4,3.8,7.1,5.5,0.6684,0.17258,0.085,1.33947,0.03113,0.196,0.12235
"Epilobium montanum",120,100,6,8,7,3,0,0,0,0,1,0,0,0,0,4.6,5.9,5.8,4.2,3.9,0.6657,0.19349,0.11047,1.28546,0.05359,0.18578,0.11775
"Epilobium obscurum",30,60,6,9,7.5,4,0,0,0,0,1,0,0,0,0,6.7,4.7,4.1,6.6,4.1,0.48834,0.44094,1.09169,1.66125,0.45269,0.19398,0.1407
"Epilobium parviflorum",20,100,6,10,8,5,0,0,0,0,1,0,0,0,0,7,6.1,7.2,7.2,4.4,0.48492,0.43049,1.01201,1.65202,0.48239,0.25457,0.15201
"Epilobium tetragonum",100,90,6,8,7,3,0,0,0,0,1,0,0,0,0,5.9,5.9,5.5,6.4,4.8,0.57418,0.53898,1.16591,1.71536,0.51795,0.23854,0.25595
"Equisetum arvense",100,100,2,5,3.5,4,0,0,0,1,0,0,0,0,0,5.2,4.4,5.6,6.2,4.2,0.62007,0.55748,0.96167,1.74664,0.47697,0.17701,0.38126
"Equisetum palustre",17,60,3,10,6.5,8,0,0,0,1,0,0,0,0,0,6.5,3.3,5.5,6.8,3.4,0.44895,0.41106,1.16268,1.70688,0.62352,0.18912,0.13918
"Equisetum ramosissimum",17,175,1,11,6,11,0,0,0,1,0,0,0,0,0,3.7,2.6,6.8,7.8,5.2,0.56712,0.46169,0.75545,1.60311,0.36364,0.21977,0.23034
"Equisetum telmateia",36,100,2,7,4.5,6,0,0,0,1,0,0,0,0,0,6.4,5.6,7.2,5.3,4.5,0.58734,0.37976,0.45265,1.43908,0.2382,0.18476,0.13926
"Eragrostis minor",10,47,6,10,8,5,0,0,0,0,0,0,1,0,0,2.7,4.4,6.3,8.1,5.6,0.82708,0.82406,2.10476,2.29121,0.95138,0.15245,0.5475
"Eragrostis pectinacea",65,50,1,12,6.5,12,1,0,0,0,0,0,1,0,0,4.4,6.7,5.6,8,6.2,NA,NA,NA,NA,NA,NA,NA
"Eragrostis pilosa",100,75,7,11,9,5,0,0,0,0,0,0,1,0,0,3.1,5.8,5.8,8.2,5.5,0.80644,0.79851,1.75483,2.01906,0.37049,0.16414,0.48905
"Eragrostis virescens",60,80,7,10,8.5,4,1,0,0,0,0,0,1,0,0,4,5,5.4,7.6,6.7,NA,NA,NA,NA,NA,NA,NA
"Erica arborea",1400,1400,2,7,4.5,6,0,0,0,0,0,0,0,1,0,3.1,2.4,3.3,6.7,6.5,0.66153,0.20061,0.16892,1.30298,0.00871,0.24762,0.08784
"Erica ciliaris",20,80,5,9,7,5,0,0,0,0,0,0,0,1,0,6.1,1.8,1.7,7.2,5,0.38659,0.29848,0.99098,1.58371,0.27657,0.2841,0.11748
"Erica cinerea",15,60,6,9,7.5,4,0,0,0,0,0,0,0,1,0,4.2,1.1,1.6,7.7,4.8,0.49518,0.2716,0.5189,1.46747,0.10038,0.28252,0.16037
"Erica mackaiana",10,60,7,9,8,3,0,0,0,0,0,0,0,1,0,6.7,1.8,2.1,7.9,5,NA,NA,NA,NA,NA,NA,NA
