Original.Taxon,SIVIMID,Analysis.Names,Cover,Cover.percent
Salix caprea,NEW-OMAR-PA67,Salix caprea,2,15
Dryopteris affinis subsp. affinis,NEW-OMAR-BA33,Dryopteris affinis,+,1
Senecio vulgaris,NEW-OMAR-BA38,Senecio vulgaris,2,15
Senecio vulgaris,NEW-OMAR-BA42,Senecio vulgaris,2,15
Senecio vulgaris,NEW-OMAR-PA35,Senecio vulgaris,2,15
Solanum dulcamara,NEW-OMAR-BA39,Solanum dulcamara,2,15
Solidago virgaurea,NEW-OMAR-PA55,Solidago virgaurea,2,15
Solidago virgaurea,NEW-OMAR-PA56,Solidago virgaurea,2,15
Sonchus oleraceus,NEW-OMAR-PA35,Sonchus oleraceus,2,15
Stellaria media,NEW-OMAR-BA34,Stellaria media,2,15
Stellaria media,NEW-OMAR-PA35,Stellaria media,2,15
Succisa pratensis,NEW-OMAR-LT54,Succisa pratensis,2,15
Dryopteris affinis subsp. affinis,NEW-OMAR-CC22,Dryopteris affinis,+,1
Trifolium campestre ,NEW-OMAR-LF52,Trifolium campestre,2,15
Trifolium pratense ,NEW-OMAR-LF11,Trifolium pratense,2,15
Trifolium pratense ,NEW-OMAR-LF51,Trifolium pratense,2,15
Dryopteris affinis subsp. affinis,NEW-OMAR-PA31,Dryopteris affinis,+,1
Dryopteris affinis subsp. affinis,NEW-OMAR-PA45,Dryopteris affinis,+,1
Dryopteris affinis subsp. affinis,NEW-OMAR-CC88,Dryopteris affinis,+,1
Dryopteris affinis subsp. affinis,NEW-OMAR-PA32,Dryopteris affinis,+,1
Ulex europaeus,NEW-OMAR-CO61,Ulex europaeus,2,15
Urtica dioica,NEW-OMAR-BA106,Urtica dioica,2,15
Urtica dioica,NEW-OMAR-BA39,Urtica dioica,2,15
Urtica dioica,NEW-OMAR-BA58,Urtica dioica,2,15
Urtica dioica,NEW-OMAR-LF95,Urtica dioica,2,15
Verbena officinalis,NEW-OMAR-BA85,Verbena officinalis,2,15
Agrostis canina,NEW-OMAR-BA02,Agrostis canina,3,37.5
Agrostis capillaris,NEW-OMAR-BA33,Agrostis capillaris,3,37.5
Agrostis capillaris,NEW-OMAR-PA96,Agrostis capillaris,3,37.5
Agrostis curtisii,NEW-OMAR-LC77,Agrostis curtisii,3,37.5
Dryopteris affinis subsp. affinis,NEW-OMAR-CC25,Dryopteris affinis,+,1
Artemisia vulgaris,NEW-OMAR-BA13,Artemisia vulgaris,3,37.5
Hedera helix ,NEW-OMAR-CC86,Hedera helix s.l.,1,5
Helminthotheca echioides ,NEW-OMAR-MO03,Helminthotheca echioides,3,3
Brachypodium rupestre,NEW-OMAR-BA19,Brachypodium rupestre,3,37.5
Brachypodium sylvaticum,NEW-OMAR-LF09,Brachypodium sylvaticum,3,37.5
Brassica napus var. napus,NEW-OMAR-BA43,Brassica napus,3,37.5
Carex pendula,NEW-OMAR-BA40,Carex pendula,3,37.5
Castanea sativa,NEW-OMAR-CC87,Castanea sativa,3,37.5
Castanea sativa,NEW-OMAR-CC89,Castanea sativa,3,37.5
Castanea sativa,NEW-OMAR-CC22,Castanea sativa,3,37.5
Conium maculatum,NEW-OMAR-LF109,Conium maculatum,3,37.5
Plantago major,NEW-OMAR-MO03,Plantago major,3,3
Equisetum telmateia,NEW-OMAR-CO63,Equisetum telmateia,3,37.5
Equisetum telmateia,NEW-OMAR-CO62,Equisetum telmateia,3,37.5
Equisetum telmateia,NEW-OMAR-BA106,Equisetum telmateia,3,37.5
Erica ciliaris,NEW-OMAR-PA16,Erica ciliaris,3,37.5
Erica ciliaris,NEW-OMAR-RI72,Erica ciliaris,3,37.5
Festuca rubra,NEW-OMAR-CO66,Festuca rubra,3,37.5
Galium aparine,NEW-OMAR-PA102,Galium aparine,3,37.5
Galium palustre,NEW-OMAR-BA39,Galium palustre,3,37.5
Trifolium pratense ,NEW-OMAR-MO06,Trifolium pratense,3,3
Hedera helix ,NEW-OMAR-LNA73,Hedera helix s.l.,1,5
Lactuca serriola ,NEW-OMAR-NI02,Lactuca serriola,3,3
Hirschfeldia incana ,NEW-OMAR-BA58,Hirschfeldia incana,3,37.5
Hirschfeldia incana ,NEW-OMAR-BA02,Hirschfeldia incana,3,37.5
Holcus lanatus ,NEW-OMAR-BA14,Holcus lanatus,3,37.5
Holcus mollis,NEW-OMAR-PA32,Holcus mollis,3,37.5
Juncus inflexus,NEW-OMAR-BA84,Juncus inflexus,3,37.5
Piptatherum miliaceum ,NEW-OMAR-NI03,Piptatherum miliaceum,3,3
Lapsana communis,NEW-OMAR-PA35,Lapsana communis,3,37.5
Lolium perenne ,NEW-OMAR-BA108,Lolium perenne,3,37.5
Lotus corniculatus subsp. corniculatus,NEW-OMAR-LT54,Lotus corniculatus,3,37.5
Gastridium ventricosum ,NEW-OMAR-NI05,Gastridium ventricosum,3,3
Mentha aquatica,NEW-OMAR-BA39,Mentha aquatica,3,37.5
Mentha aquatica,NEW-OMAR-BA82,Mentha aquatica,3,37.5
Rubus ulmifolius ,NEW-OMAR-NI05,Rubus ulmifolius,3,3
Mercurialis annua,NEW-OMAR-BA43,Mercurialis annua,3,37.5
Ochlopoa annua,NEW-OMAR-PA30,Ochlopoa annua,3,37.5
Ochlopoa annua,NEW-OMAR-RE27,Ochlopoa annua,3,37.5
Osmunda regalis,NEW-OMAR-LNA76,Osmunda regalis,3,37.5
Paspalum distichum,NEW-OMAR-LF105,Paspalum distichum,3,37.5
Paspalum distichum,NEW-OMAR-BA03,Paspalum distichum,3,37.5
Holcus lanatus ,NEW-OMAR-CA02,Holcus lanatus,5,5
Piptatherum miliaceum ,NEW-OMAR-BA02,Piptatherum miliaceum,3,37.5
Plantago lanceolata ,NEW-OMAR-CA02,Plantago lanceolata,5,5
Plantago major,NEW-OMAR-LF10,Plantago major,3,37.5
Polycarpon tetraphyllum,NEW-OMAR-BA42,Polycarpon tetraphyllum,3,37.5
Pseudarrhenatherum longifolium,NEW-OMAR-PA69,Pseudarrhenatherum longifolium,3,37.5
Pseudarrhenatherum longifolium,NEW-OMAR-PA70,Pseudarrhenatherum longifolium,3,37.5
Pseudarrhenatherum longifolium,NEW-OMAR-BA33,Pseudarrhenatherum longifolium,3,37.5
Pseudarrhenatherum longifolium,NEW-OMAR-RE29,Pseudarrhenatherum longifolium,3,37.5
Pseudarrhenatherum longifolium,NEW-OMAR-PA17,Pseudarrhenatherum longifolium,3,37.5
Pseudarrhenatherum longifolium,NEW-OMAR-LNA75,Pseudarrhenatherum longifolium,3,37.5
Pteridium aquilinum,NEW-OMAR-BA33,Pteridium aquilinum,3,37.5
Pteridium aquilinum,NEW-OMAR-RI71,Pteridium aquilinum,3,37.5
Pteridium aquilinum,NEW-OMAR-PA48,Pteridium aquilinum,3,37.5
Pteridium aquilinum,NEW-OMAR-AC78,Pteridium aquilinum,3,37.5
Carex pendula,NEW-OMAR-CA03,Carex pendula,5,5
Rubus ulmifolius ,NEW-OMAR-LNA73,Rubus ulmifolius,3,37.5
Rubus ulmifolius ,NEW-OMAR-BA18,Rubus ulmifolius,3,37.5
Salix atrocinerea,NEW-OMAR-BA81,Salix cinerea subsp. oleifolia,3,37.5
Dactylis glomerata,NEW-OMAR-CA03,Dactylis glomerata,5,5
Senecio vulgaris,NEW-OMAR-BA43,Senecio vulgaris,3,37.5
Sonchus oleraceus,NEW-OMAR-BA05,Sonchus oleraceus,3,37.5
Trifolium dubium,NEW-OMAR-PA98,Trifolium dubium,3,37.5
Trifolium pratense ,NEW-OMAR-BA53,Trifolium pratense,3,37.5
Holcus lanatus ,NEW-OMAR-CA03,Holcus lanatus,5,5
Hedera helix ,NEW-OMAR-LF09,Hedera helix s.l.,2,15
Ulex europaeus,NEW-OMAR-LC77,Ulex europaeus,3,37.5
Adenocarpus lainzii,NEW-OMAR-PA49,Adenocarpus complicatus,4,62.5
Agrostis capillaris,NEW-OMAR-PA45,Agrostis capillaris,4,62.5
Alnus glutinosa,NEW-OMAR-LF09,Alnus glutinosa,4,62.5
Hedera helix ,NEW-OMAR-PA68,Hedera helix s.l.,3,37.5
Rubus ulmifolius ,NEW-OMAR-CA04,Rubus ulmifolius,5,5
Schedonorus arundinaceus,NEW-OMAR-CA05,Schedonorus arundinaceus,5,5
Hedera helix ,NEW-OMAR-CC22,Hedera helix s.l.,+,1
Hedera helix ,NEW-OMAR-PA46,Hedera helix s.l.,+,1
Castanea sativa,NEW-OMAR-AC78,Castanea sativa,4,62.5
Castanea sativa,NEW-OMAR-CC88,Castanea sativa,4,62.5
Castanea sativa,NEW-OMAR-LNA76,Castanea sativa,4,62.5
Castanea sativa,NEW-OMAR-BA19,Castanea sativa,4,62.5
Castanea sativa,NEW-OMAR-RE28,Castanea sativa,4,62.5
Castanea sativa,NEW-OMAR-PA45,Castanea sativa,4,62.5
Castanea sativa,NEW-OMAR-CC25,Castanea sativa,4,62.5
Equisetum telmateia,NEW-OMAR-BA08,Equisetum telmateia,4,62.5
Erica cinerea,NEW-OMAR-TU91,Erica cinerea,4,62.5
Eucalyptus globulus,NEW-OMAR-PA96,Eucalyptus globulus,4,62.5
Festuca nigrescens,NEW-OMAR-PA46,Festuca nigrescens,4,62.5
Hedera helix ,NEW-OMAR-RE29,Hedera helix s.l.,+,1
Mentha suaveolens,NEW-OMAR-BA107,Mentha suaveolens,4,62.5
Pseudarrhenatherum longifolium,NEW-OMAR-PA67,Pseudarrhenatherum longifolium,4,62.5
Pseudarrhenatherum longifolium,NEW-OMAR-RI72,Pseudarrhenatherum longifolium,4,62.5
Pseudarrhenatherum longifolium,NEW-OMAR-RI71,Pseudarrhenatherum longifolium,4,62.5
Pteridium aquilinum,NEW-OMAR-LNA75,Pteridium aquilinum,4,62.5
Pteridium aquilinum,NEW-OMAR-PA96,Pteridium aquilinum,4,62.5
Quercus robur,NEW-OMAR-AC78,Quercus robur,4,62.5
Rubus ulmifolius ,NEW-OMAR-PA49,Rubus ulmifolius,4,62.5
Rubus ulmifolius ,NEW-OMAR-CC22,Rubus ulmifolius,4,62.5
Rubus ulmifolius ,NEW-OMAR-PA55,Rubus ulmifolius,4,62.5
Rubus ulmifolius ,NEW-OMAR-CO61,Rubus ulmifolius,4,62.5
Salix atrocinerea,NEW-OMAR-PA31,Salix cinerea subsp. oleifolia,4,62.5
Stellaria media,NEW-OMAR-BA06,Stellaria media,4,62.5
Symphyotrichum squamatum,NEW-OMAR-BA58,Symphyotrichum squamatum,4,62.5
Adenocarpus lainzii,NEW-OMAR-RE36,Adenocarpus complicatus,5,87.5
Alnus glutinosa,NEW-OMAR-LNA73,Alnus glutinosa,5,87.5
Dactylis glomerata,NEW-OMAR-CA06,Dactylis glomerata,5,5
Mentha suaveolens,NEW-OMAR-CA06,Mentha suaveolens,5,5
Hedera helix ,NEW-OMAR-RE28,Hedera helix s.l.,+,1
Hedera helix ,NEW-OMAR-CC88,Hedera helix s.l.,+,1
Hedera helix ,NEW-OMAR-CC25,Hedera helix s.l.,+,1
Hedera helix ,NEW-OMAR-CC87,Hedera helix s.l.,+,1
Hedera helix ,NEW-OMAR-BA33,Hedera helix s.l.,+,1
Buddleja davidii ,NEW-OMAR-CA07,Buddleja davidii,5,5
Castanea sativa,NEW-OMAR-PA32,Castanea sativa,5,87.5
Juncus inflexus,NEW-OMAR-CA09,Juncus inflexus,5,5
Trifolium pratense ,NEW-OMAR-CA10,Trifolium pratense,5,5
Buddleja davidii ,NEW-OMAR-MO01,Buddleja davidii,5,5
Dittrichia viscosa ,NEW-OMAR-MO01,Dittrichia viscosa,5,5
Holcus lanatus ,NEW-OMAR-MO02,Holcus lanatus,5,5
Trifolium pratense ,NEW-OMAR-MO03,Trifolium pratense,5,5
Helminthotheca echioides ,NEW-OMAR-MO05,Helminthotheca echioides,5,5
Hypochaeris radicata ,NEW-OMAR-MO05,Hypochaeris radicata,5,5
Melilotus albus,NEW-OMAR-MO06,Melilotus albus,5,5
Trifolium pratense ,NEW-OMAR-MO07,Trifolium pratense,5,5
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO10,Lotus corniculatus,5,5
Melilotus albus,NEW-OMAR-MO10,Melilotus albus,5,5
Andryala integrifolia ,NEW-OMAR-NI02,Andryala integrifolia,5,5
Rubus ulmifolius ,NEW-OMAR-NI03,Rubus ulmifolius,5,5
Buddleja davidii ,NEW-OMAR-NI04,Buddleja davidii,5,5
Plantago lanceolata ,NEW-OMAR-NI04,Plantago lanceolata,5,5
Centaurea nigra ,NEW-OMAR-NI05,Centaurea nigra,5,5
Hedera helix ,NEW-OMAR-BA19,Hedera helix s.l.,+,1
Hedera helix ,NEW-OMAR-PA55,Hedera helix s.l.,+,1
Helminthotheca echioides ,NEW-OMAR-NI05,Helminthotheca echioides,5,5
Trifolium campestre ,NEW-OMAR-NI05,Trifolium campestre,5,5
Centaurea nigra ,NEW-OMAR-NI07,Centaurea nigra,5,5
Melilotus albus,NEW-OMAR-NI07,Melilotus albus,5,5
Verbascum pulverulentum ,NEW-OMAR-NI07,Verbascum pulverulentum,5,5
Anthyllis vulneraria,NEW-OMAR-NI08,Anthyllis vulneraria,5,5
Bromus hordeaceus ,NEW-OMAR-MO10,Bromus hordeaceus,8,8
Gastridium ventricosum ,NEW-OMAR-NI03,Gastridium ventricosum,8,8
Plantago lanceolata ,NEW-OMAR-CA03,Plantago lanceolata,10,10
Typha latifolia,NEW-OMAR-BA41,Typha latifolia,5,87.5
Typha latifolia,NEW-OMAR-BA83,Typha latifolia,5,87.5
Hedera helix ,NEW-OMAR-CC89,Hedera helix s.l.,+,1
Juncus inflexus,NEW-OMAR-CA06,Juncus inflexus,10,10
Plantago lanceolata ,NEW-OMAR-CA06,Plantago lanceolata,10,10
Rubus ulmifolius ,NEW-OMAR-CA07,Rubus ulmifolius,10,10
Juncus inflexus,NEW-OMAR-CA08,Juncus inflexus,10,10
Potentilla reptans,NEW-OMAR-CA08,Potentilla reptans,10,10
Potentilla reptans,NEW-OMAR-CA09,Potentilla reptans,10,10
Holcus lanatus ,NEW-OMAR-MO01,Holcus lanatus,10,10
Hedera helix ,NEW-OMAR-LNA76,Hedera helix s.l.,+,1
Trifolium campestre ,NEW-OMAR-MO01,Trifolium campestre,10,10
Medicago sativa ,NEW-OMAR-MO02,Medicago sativa,10,10
Dittrichia viscosa ,NEW-OMAR-MO03,Dittrichia viscosa,10,10
Helianthus annuus,NEW-OMAR-BA03,Helianthus annuus,+,1
Melilotus albus,NEW-OMAR-MO03,Melilotus albus,10,10
Leucanthemum vulgare ,NEW-OMAR-MO04,Leucanthemum vulgare s.l.,10,10
Dittrichia viscosa ,NEW-OMAR-MO05,Dittrichia viscosa,10,10
Medicago polymorpha ,NEW-OMAR-MO05,Medicago polymorpha,10,10
Melilotus albus,NEW-OMAR-MO05,Melilotus albus,10,10
Plantago lanceolata ,NEW-OMAR-MO05,Plantago lanceolata,10,10
Lamium hybridum,NEW-OMAR-BA42,Lamium purpureum,2,15
Laserpitium prutenicum subsp. dufourianum,NEW-OMAR-PA17,Laserpitium prutenicum,4,62.5
Plantago lanceolata ,NEW-OMAR-MO06,Plantago lanceolata,10,10
Bromus hordeaceus ,NEW-OMAR-MO08,Bromus hordeaceus,10,10
Dittrichia viscosa ,NEW-OMAR-MO08,Dittrichia viscosa,10,10
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO09,Lotus corniculatus,10,10
Galactites tomentosus ,NEW-OMAR-NI03,Galactites tomentosus,10,10
Verbascum pulverulentum ,NEW-OMAR-NI03,Verbascum pulverulentum,10,10
Smyrnium olusatrum ,NEW-OMAR-NI06,Smyrnium olusatrum,10,10
Melilotus albus,NEW-OMAR-NI09,Melilotus albus,10,10
Hedera helix ,NEW-OMAR-NI10,Hedera helix s.l.,10,10
Laserpitium prutenicum subsp. dufourianum,NEW-OMAR-TU91,Laserpitium prutenicum,+,1
Clematis vitalba ,NEW-OMAR-NI04,Clematis vitalba,12,12
Rubus ulmifolius ,NEW-OMAR-NI04,Rubus ulmifolius,12,12
Quercus robur,NEW-OMAR-PA31,Quercus robur,13,13
Lotus corniculatus subsp. corniculatus,NEW-OMAR-CA01,Lotus corniculatus,15,15
Potentilla reptans,NEW-OMAR-CA02,Potentilla reptans,15,15
Trifolium pratense ,NEW-OMAR-MO01,Trifolium pratense,15,15
Melilotus albus,NEW-OMAR-MO07,Melilotus albus,15,15
Holcus lanatus ,NEW-OMAR-MO08,Holcus lanatus,15,15
Leucanthemum vulgare ,NEW-OMAR-BA53,Leucanthemum vulgare s.l.,1,5
Rubus ulmifolius ,NEW-OMAR-NI01,Rubus ulmifolius,15,15
Piptatherum miliaceum ,NEW-OMAR-NI04,Piptatherum miliaceum,15,15
Medicago polymorpha ,NEW-OMAR-NI05,Medicago polymorpha,15,15
Potentilla reptans,NEW-OMAR-CA03,Potentilla reptans,20,20
Holcus lanatus ,NEW-OMAR-CA06,Holcus lanatus,20,20
Brachypodium rupestre,NEW-OMAR-CA07,Brachypodium rupestre,20,20
Leucanthemum vulgare ,NEW-OMAR-LT54,Leucanthemum vulgare s.l.,1,5
Brachypodium rupestre,NEW-OMAR-CA08,Brachypodium rupestre,20,20
Melilotus officinalis ,NEW-OMAR-MO01,Melilotus officinalis,20,20
Dittrichia viscosa ,NEW-OMAR-MO02,Dittrichia viscosa,20,20
Trifolium pratense ,NEW-OMAR-MO04,Trifolium pratense,20,20
Robinia pseudoacacia ,NEW-OMAR-MO05,Robinia pseudoacacia,20,20
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO06,Lotus corniculatus,20,20
Holcus lanatus ,NEW-OMAR-MO07,Holcus lanatus,20,20
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO08,Lotus corniculatus,20,20
Melilotus albus,NEW-OMAR-MO08,Melilotus albus,20,20
Leucanthemum vulgare ,NEW-OMAR-LF11,Leucanthemum vulgare s.l.,+,1
Dittrichia viscosa ,NEW-OMAR-MO09,Dittrichia viscosa,20,20
Trifolium pratense ,NEW-OMAR-MO09,Trifolium pratense,20,20
Buddleja davidii ,NEW-OMAR-NI01,Buddleja davidii,20,20
Sedum album ,NEW-OMAR-NI08,Sedum album,20,20
Juncus inflexus,NEW-OMAR-CA02,Juncus inflexus,25,25
Juncus inflexus,NEW-OMAR-CA03,Juncus inflexus,25,25
Holcus lanatus ,NEW-OMAR-CA05,Holcus lanatus,25,25
Alnus glutinosa,NEW-OMAR-CA09,Alnus glutinosa,25,25
Cortaderia selloana ,NEW-OMAR-NI06,Cortaderia selloana,25,25
Melilotus albus,NEW-OMAR-CA01,Melilotus albus,30,30
Dactylis glomerata,NEW-OMAR-CA05,Dactylis glomerata,30,30
Salix atrocinerea,NEW-OMAR-CA08,Salix cinerea subsp. oleifolia,30,30
Trifolium pratense ,NEW-OMAR-MO02,Trifolium pratense,30,30
Plantago lanceolata ,NEW-OMAR-MO03,Plantago lanceolata,30,30
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO04,Lotus corniculatus,30,30
Plantago lanceolata ,NEW-OMAR-MO04,Plantago lanceolata,30,30
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO05,Lotus corniculatus,30,30
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO07,Lotus corniculatus,30,30
Leucanthemum vulgare ,NEW-OMAR-CO62,Leucanthemum vulgare s.l.,+,1
Leucanthemum vulgare ,NEW-OMAR-LF52,Leucanthemum vulgare s.l.,+,1
Cortaderia selloana ,NEW-OMAR-MO08,Cortaderia selloana,30,30
Plantago lanceolata ,NEW-OMAR-MO10,Plantago lanceolata,30,30
Hirschfeldia incana ,NEW-OMAR-NI04,Hirschfeldia incana,30,30
Medicago sativa ,NEW-OMAR-NI06,Medicago sativa,30,30
Trifolium campestre ,NEW-OMAR-NI06,Trifolium campestre,30,30
Rubus ulmifolius ,NEW-OMAR-NI10,Rubus ulmifolius,30,30
Rubus ulmifolius ,NEW-OMAR-CA01,Rubus ulmifolius,40,40
Dactylis glomerata,NEW-OMAR-CA02,Dactylis glomerata,40,40
Lotus corniculatus subsp. corniculatus,NEW-OMAR-CA03,Lotus corniculatus,40,40
Juncus inflexus,NEW-OMAR-CA05,Juncus inflexus,40,40
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO02,Lotus corniculatus,40,40
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO03,Lotus corniculatus,40,40
Leucanthemum vulgare ,NEW-OMAR-CO61,Leucanthemum vulgare s.l.,+,1
Leucanthemum vulgare ,NEW-OMAR-BA14,Leucanthemum vulgare s.l.,+,1
Plantago lanceolata ,NEW-OMAR-MO07,Plantago lanceolata,40,40
Quercus ilex,NEW-OMAR-MO09,Quercus ilex,40,40
Smyrnium olusatrum ,NEW-OMAR-NI02,Smyrnium olusatrum,40,40
Trifolium campestre ,NEW-OMAR-CA01,Trifolium campestre,50,50
Melilotus albus,NEW-OMAR-CA04,Melilotus albus,50,50
Cortaderia selloana ,NEW-OMAR-MO06,Cortaderia selloana,50,50
Trifolium pratense ,NEW-OMAR-MO10,Trifolium pratense,50,50
Centaurea nigra ,NEW-OMAR-CA06,Centaurea nigra,60,60
Salix atrocinerea,NEW-OMAR-CA07,Salix cinerea subsp. oleifolia,60,60
Alnus glutinosa,NEW-OMAR-CA08,Alnus glutinosa,60,60
Salix atrocinerea,NEW-OMAR-CA09,Salix cinerea subsp. oleifolia,60,60
Lotus corniculatus subsp. corniculatus,NEW-OMAR-MO01,Lotus corniculatus,60,60
Clematis vitalba ,NEW-OMAR-NI10,Clematis vitalba,60,60
Rubus ulmifolius ,NEW-OMAR-NI07,Rubus ulmifolius,75,75
Hedera helix ,NEW-OMAR-NI09,Hedera helix s.l.,90,90
Brachypodium rupestre,NEW-OMAR-CA10,Brachypodium rupestre,95,95
Mentha × rotundifolia,NEW-OMAR-LF105,Mentha longifolia,+,1
Clematis vitalba ,NEW-OMAR-NI08,Clematis vitalba,95,95
Dactylis glomerata,NEW-OMAR-CA01,Dactylis glomerata,"0,5",0.5
Acer pseudoplatanus,NEW-OMAR-LF09,Acer pseudoplatanus,+,1
achillea millefolium,NEW-OMAR-PA102,Achillea millefolium,+,1
Achillea millefolium,NEW-OMAR-BA58,Achillea millefolium,+,1
agrostis canina,NEW-OMAR-BA15,Agrostis canina,+,1
Agrostis capillaris,NEW-OMAR-PA50,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-BA18,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-BA14,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-PA17,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-PA30,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-CC22,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-CC89,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-PA55,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-LF109,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-PA31,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-PA48,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-PA68,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-RE27,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-TU91,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-CO66,Agrostis capillaris,+,1
Agrostis capillaris,NEW-OMAR-LNA75,Agrostis capillaris,+,1
Agrostis curtisii,NEW-OMAR-TU92,Agrostis curtisii,+,1
Agrostis curtisii,NEW-OMAR-PA31,Agrostis curtisii,+,1
Agrostis curtisii,NEW-OMAR-PA17,Agrostis curtisii,+,1
Ajuga reptans,NEW-OMAR-LF51,Ajuga reptans,+,1
Ajuga reptans,NEW-OMAR-LT54,Ajuga reptans,+,1
Ajuga reptans,NEW-OMAR-CO66,Ajuga reptans,+,1
Alisma plantago-aquatica,NEW-OMAR-BA84,Alisma plantago-aquatica,+,1
Allium sphaerocephalon,NEW-OMAR-BA02,Allium sphaerocephalon,+,1
Allium sphaerocephalon,NEW-OMAR-BA53,Allium sphaerocephalon,+,1
Alnus glutinosa,NEW-OMAR-BA18,Alnus glutinosa,+,1
Alnus glutinosa,NEW-OMAR-BA19,Alnus glutinosa,+,1
Alnus glutinosa,NEW-OMAR-CO61,Alnus glutinosa,+,1
Alnus glutinosa,NEW-OMAR-CO62,Alnus glutinosa,+,1
Anagallis arvensis,NEW-OMAR-BA38,Anagallis arvensis,+,1
Anagallis arvensis,NEW-OMAR-CC23,Anagallis arvensis,+,1
Anagallis arvensis,NEW-OMAR-PA30,Anagallis arvensis,+,1
Angelica sylvestris,NEW-OMAR-BA08,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-LF105,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-PA104,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-PA55,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-PA102,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-CC90,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-PA56,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-BA83,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-PA50,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-PA96,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-PA46,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-LNA73,Angelica sylvestris,+,1
Angelica sylvestris,NEW-OMAR-BA33,Angelica sylvestris,+,1
Anisantha diandra,NEW-OMAR-BA58,Anisantha diandra,+,1
Anisantha diandra,NEW-OMAR-BA12,Anisantha diandra,+,1
Anisantha madritensis,NEW-OMAR-CC86,Anisantha madritensis,+,1
Anisantha sterilis,NEW-OMAR-LF09,Anisantha sterilis,+,1
Anthemis cotula,NEW-OMAR-BA42,Anthemis cotula,+,1
Anthyllis vulneraria,NEW-OMAR-CO66,Anthyllis vulneraria,+,1
Antirrhinum braun-blanquetii,NEW-OMAR-BA02,Antirrhinum braun-blanquetii,+,1
Aquilegia vulgaris,NEW-OMAR-LF09,Aquilegia vulgaris,+,1
Arenaria montana,NEW-OMAR-PA45,Arenaria montana,+,1
Arenaria montana,NEW-OMAR-LC77,Arenaria montana,+,1
Arenaria montana,NEW-OMAR-PA70,Arenaria montana,+,1
Arenaria montana,NEW-OMAR-RI72,Arenaria montana,+,1
Arrhenatherum elatius,NEW-OMAR-BA14,Arrhenatherum elatius,+,1
Artemisia vulgaris,NEW-OMAR-PA98,Artemisia vulgaris,+,1
Artemisia vulgaris,NEW-OMAR-BA108,Artemisia vulgaris,+,1
Artemisia vulgaris,NEW-OMAR-BA03,Artemisia vulgaris,+,1
Artemisia vulgaris,NEW-OMAR-BA02,Artemisia vulgaris,+,1
Asplenium adiantum-nigrum,NEW-OMAR-LNA76,Asplenium adiantum-nigrum,+,1
Asplenium adiantum-nigrum,NEW-OMAR-PA68,Asplenium adiantum-nigrum,+,1
Athyrium filix-femina,NEW-OMAR-BA18,Athyrium filix-femina,+,1
Athyrium filix-femina,NEW-OMAR-RE28,Athyrium filix-femina,+,1
Athyrium filix-femina,NEW-OMAR-PA32,Athyrium filix-femina,+,1
Athyrium filix-femina,NEW-OMAR-LF09,Athyrium filix-femina,+,1
Athyrium filix-femina,NEW-OMAR-LNA73,Athyrium filix-femina,+,1
Athyrium filix-femina,NEW-OMAR-CC25,Athyrium filix-femina,+,1
Athyrium filix-femina,NEW-OMAR-CC22,Athyrium filix-femina,+,1
Atriplex patula,NEW-OMAR-BA05,Atriplex patula,+,1
Avena barbata,NEW-OMAR-BA12,Avena barbata,+,1
Avena sterilis,NEW-OMAR-BA58,Avena sterilis,+,1
